Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm),
4320,15,U,5,141,CY,131.22,CY,131.16,YS,-0.06,-0.4255319149,
4320,15,U,14,140,CY,131.82,CY,132.57,YS,0.75,5.357142857,
4320,15,U,27,143,CY,131.07,CY,131.97,YS,0.90,6.293706294,
4320,15,D,5,140,CY,131.71,CY,132.50,YS,0.79,5.642857143,
4320,15,D,14,141,CY,130.92,CY,131.68,YS,0.76,5.390070922,
4320,15,D,27,142,CY,130.29,CY,131.12,YS,0.83,5.845070423,
4620,16,U,5,144,CY,135.08,CY,135.86,YS,0.78,5.416666667,
4620,16,U,14,144,CY,131.87,CY,132.73,YS,0.86,5.972222222,
4620,16,U,27,143,CY,129.12,CY,129.98,YS,0.86,6.013986014,
4620,16,D,5,136,CY,130.15,CY,131.10,YS,0.95,6.985294118,
4620,16,D,14,138,CY,130.42,CY,131.37,YS,0.95,6.884057971,
4620,16,D,27,137,CY,129.7,CY,130.54,YS,0.84,6.131386861,
4920,17,U,5,143,CY,131.14,CY,131.80,YS,0.66,4.615384615,
4920,17,U,14,144,CY,130.18,CY,131.15,YS,0.97,6.736111111,
4920,17,U,27,143,CY,131.02,CY,131.91,YS,0.89,6.223776224,
4920,17,D,5,138,CY,129.36,CY,130.12,YS,0.76,5.507246377,
4920,17,D,14,138,CY,128.33,CY,129.17,YS,0.84,6.086956522,
4920,17,D,27,138,CY,130.15,CY,130.92,YS,0.77,5.579710145,
5220,18,U,5,143,CY,131.15,CY,132.23,YS,1.08,7.552447552,
5220,18,U,14,143,CY,131.87,CY,132.55,YS,0.68,4.755244755,
5220,18,U,27,143,CY,130.75,CY,131.70,YS,0.95,6.643356643,
5220,18,D,5,139,CY,130.7,CY,131.68,YS,0.98,7.050359712,
5220,18,D,14,138,CY,131.65,CY,132.24,YS,0.59,4.275362319,
5220,18,D,27,138,CY,130.22,CY,130.98,YS,0.76,5.507246377,
5520,19,U,5,144,CY,128.99,CY,129.67,YS,0.68,4.722222222,
5520,19,U,14,143,CY,129.12,CY,129.94,YS,0.82,5.734265734,
5520,19,U,27,143,CY,129.97,CY,130.67,YS,0.70,4.895104895,
5520,19,D,5,138,CY,132.08,CY,132.82,YS,0.74,5.362318841,
5520,19,D,14,145,CY,130.64,CY,131.51,YS,0.87,6,
5520,19,D,27,139,CY,131.91,CY,132.58,YS,0.67,4.820143885,
5820,20,U,5,143,CY,128.83,CY,129.64,YS,0.81,5.664335664,
5820,20,U,14,144,CY,132.31,CY,132.88,YS,0.57,3.958333333,
5820,20,U,27,143,CY,130.55,CY,131.21,YS,0.66,4.615384615,
5820,20,D,5,136,CY,131.88,CY,132.47,YS,0.59,4.338235294,
5820,20,D,14,138,CY,132.17,CY,132.80,YS,0.63,4.565217391,
5820,20,D,27,139,CY,130.64,CY,131.20,YS,0.56,4.028776978,
