Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,137,JW,132.03,CY,138.35,CY,6.32,46.13138686
300,1,U,14,142,JW,133.68,CY,140,CY,6.32,44.50704225
300,1,U,27,142,JW,126.08,CY,132.89,CY,6.81,47.95774648
300,1,D,5,140,JW,126.59,CY,131.55,CY,4.96,35.42857143
300,1,D,14,142,JW,130.1,CY,136.93,CY,6.83,48.09859155
300,1,D,27,137,JW,131.65,CY,137.81,CY,6.16,44.96350365
600,2,U,5,133,JW,128.15,CY,132.83,CY,4.68,35.18796992
600,2,U,14,141,JW,128.37,CY,133.36,CY,4.99,35.39007092
600,2,U,27,140,JW,128.95,CY,134.15,CY,5.2,37.14285714
600,2,D,5,139,JW,130.34,CY,135.14,CY,4.8,34.5323741
600,2,D,14,141,JW,134.81,CY,140.7,CY,5.89,41.77304965
600,2,D,27,140,JW,128.79,CY,134.28,CY,5.49,39.21428571
900,3,U,5,134,CY,134.14,CY,138.32,CY,4.18,31.19402985
900,3,U,14,141,CY,131.95,CY,136.55,CY,4.6,32.62411348
900,3,U,27,141,CY,132.22,CY,137.07,CY,4.85,34.39716312
900,3,D,5,140,CY,131.41,CY,135.48,CY,4.07,29.07142857
900,3,D,14,141,CY,130.84,CY,135.72,CY,4.88,34.60992908
900,3,D,27,141,CY,131.47,CY,136.25,CY,4.78,33.90070922
1200,4,U,5,136,CY,131.05,CY,134.5,CY,3.45,25.36764706
1200,4,U,14,142,CY,132.16,CY,136.11,CY,3.95,27.81690141
1200,4,U,27,142,CY,132.52,CY,136.49,CY,3.97,27.95774648
1200,4,D,5,140,CY,132.66,CY,136.27,CY,3.61,25.78571429
1200,4,D,14,143,CY,133.36,CY,137.23,CY,3.87,27.06293706
1200,4,D,27,141,CY,132.4,CY,136.37,CY,3.97,28.15602837
1500,5,U,5,142,CY,132.4,CY,135.61,CY,3.21,22.6056338
1500,5,U,14,143,CY,132.52,CY,135.94,CY,3.42,23.91608392
1500,5,U,27,143,CY,129.61,CY,133.08,CY,3.47,24.26573427
1500,5,D,5,137,CY,130.86,CY,133.92,CY,3.06,22.33576642
1500,5,D,14,144,CY,131.9,CY,135.72,CY,3.82,26.52777778
1500,5,D,27,143,CY,132.73,CY,136.4,CY,3.67,25.66433566
1800,6,U,5,135,CY,131.58,CY,134.31,CY,2.73,20.22222222
1800,6,U,14,137,CY,132.88,CY,135.85,CY,2.97,21.67883212
1800,6,U,27,142,CY,130.69,CY,133.89,CY,3.2,22.53521127
1800,6,D,5,138,CY,131.98,CY,134.7,CY,2.72,19.71014493
1800,6,D,14,140,CY,133.33,CY,136.47,CY,3.14,22.42857143
