Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
,1,U,5,139,EC,130.3,EC,135.97,CY,5.67,40.79136691
,1,U,14,142,EC,133.49,EC,139.37,CY,5.88,41.4084507
,1,U,27,141,EC,131.89,EC,140.7,CY,8.81,62.4822695
,1,D,5,135,EC,132.43,EC,138.05,CY,5.62,41.62962963
,1,D,14,142,EC,132.99,EC,139.74,CY,6.75,47.53521127
,1,D,27,141,EC,130.5,EC,134.04,CY,3.54,25.10638298
,2,U,5,138,EC,132.79,EC,139.36,CY,6.57,47.60869565
,2,U,14,137,EC,131.37,EC,137.35,CY,5.98,43.64963504
,2,U,27,141,EC,131.9,EC,137.91,CY,6.01,42.62411348
,2,D,5,126,EC,131.72,EC,135.27,CY,3.55,28.17460317
,2,D,14,136,EC,132.46,EC,138.28,CY,5.82,42.79411765
,2,D,27,135,EC,131.06,EC,136.31,CY,5.25,38.88888889
,3,U,5,140,EC,131.87,EC,136.58,CY,4.71,33.64285714
,3,U,14,143,EC,132.72,EC,136.98,CY,4.26,29.79020979
,3,U,27,142,EC,131.22,EC,136.17,CY,4.95,34.85915493
,3,D,5,137,EC,131.75,EC,134.54,CY,2.79,20.3649635
,3,D,14,141,EC,127.82,EC,130.93,CY,3.11,22.05673759
,3,D,27,141,EC,131.17,EC,134.15,CY,2.98,21.13475177
,4,U,5,142,EC,133.83,EC,137.85,CY,4.02,28.30985915
,4,U,14,144,EC,131.61,EC,135.68,CY,4.07,28.26388889
,4,U,27,144,EC,132.62,EC,136.51,CY,3.89,27.01388889
,4,D,5,137,EC,131.81,EC,135.93,CY,4.12,30.0729927
,4,D,14,138,EC,131.53,EC,135.78,CY,4.25,30.79710145
,4,D,27,141,EC,133.7,EC,137.58,CY,3.88,27.5177305
,5,U,5,136,EC,134.16,EC,137.56,CY,3.4,25
,5,U,14,143,EC,134.29,EC,138,CY,3.71,25.94405594
,5,U,27,141,EC,132.44,EC,135.8,CY,3.36,23.82978723
,5,D,5,140,EC,131.06,EC,134.52,CY,3.46,24.71428571
,5,D,14,143,EC,128.73,EC,132.97,CY,4.24,29.65034965
,5,D,27,141,EC,131.65,EC,135.54,CY,3.89,27.58865248
,6,U,5,143,EC,130.19,EC,133.56,CY,3.37,23.56643357
,6,U,14,145,EC,132.31,EC,136.06,CY,3.75,25.86206897
,6,U,27,136,EC,130.08,EC,133.25,CY,3.17,23.30882353
,6,D,5,139,EC,130.63,EC,133.55,CY,2.92,21.00719424
,6,D,14,143,EC,130.86,EC,134.2,CY,3.34,23.35664336
,6,D,27,143,EC,132.35,EC,135.23,CY,2.88,20.13986014
,7,U,5,139,NU,130.63,EC,133.45,CY,2.82,20.28776978
,7,U,14,142,NU,131.54,EC,134.86,CY,3.32,23.38028169
,7,U,27,141,NU,130.65,EC,133.85,CY,3.2,22.69503546
,7,D,5,138,NU,130.19,EC,133.25,CY,3.06,22.17391304
,7,D,14,142,NU,129.05,EC,132.31,CY,3.26,22.95774648
,7,D,27,139,NU,132.92,EC,136.45,CY,3.53,25.39568345
,8,U,5,138,NU,132.24,EC,135.22,CY,2.98,21.5942029
,8,U,14,142,NU,131.73,EC,134.78,CY,3.05,21.47887324
,8,U,27,142,NU,131.46,EC,134.51,CY,3.05,21.47887324
,8,D,5,136,NU,132.28,EC,135.05,CY,2.77,20.36764706
,8,D,14,139,NU,130.91,EC,133.93,CY,3.02,21.72661871
,8,D,27,137,NU,131.98,EC,134.99,CY,3.01,21.97080292
,9,U,5,141,NU,133.13,CY,135.85,CY,2.72,19.29078014
