Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,139,JW,129.96,CY,138.77,,8.81,63.38129496
300,1,U,14,141,JW,129.57,CY,137.96,,8.39,59.5035461
300,1,U,27,142,JW,130.51,CY,138.61,,8.1,57.04225352
300,1,D,5,142,JW,130.07,CY,139.11,,9.04,63.66197183
300,1,D,14,142,JW,128.8,CY,138.6,,9.8,69.01408451
300,1,D,27,141,JW,129.64,CY,138.29,,8.65,61.34751773
600,2,U,5,140,JW,130.93,CY,138.24,,7.31,52.21428571
600,2,U,14,141,JW,129.44,CY,136.36,,6.92,49.07801418
600,2,U,27,140,JW,129.39,CY,135.84,,6.45,46.07142857
600,2,D,5,142,JW,128.59,CY,135.77,,7.18,50.56338028
600,2,D,14,141,JW,128.09,CY,135.82,,7.73,54.82269504
600,2,D,27,140,JW,130.18,CY,137.39,,7.21,51.5
900,3,U,5,140,JW,129.79,CY,135.74,,5.95,42.5
900,3,U,14,141,JW,127.58,CY,133.84,,6.26,44.39716312
900,3,U,27,143,JW,128.77,CY,134.18,,5.41,37.83216783
900,3,D,5,141,JW,127.69,CY,132.29,,4.6,32.62411348
900,3,D,14,143,JW,129.83,CY,136.08,,6.25,43.70629371
900,3,D,27,140,JW,128,CY,134,,6,42.85714286
1200,4,U,5,142,JW,126.12,CY,131.34,,5.22,36.76056338
1200,4,U,14,144,JW,128.01,CY,133.05,,5.04,35
1200,4,U,27,142,JW,128.7,CY,133.73,,5.03,35.42253521
1200,4,D,5,141,JW,127.09,CY,132.41,,5.32,37.73049645
1200,4,D,14,142,JW,128.34,CY,133.86,,5.52,38.87323944
1200,4,D,27,141,JW,128.83,CY,134.47,,5.64,40
1500,5,U,5,141,JW,128.67,CY,133.31,,4.64,32.90780142
1500,5,U,14,143,JW,127.82,CY,132.31,,4.49,31.3986014
1500,5,U,27,142,JW,129.9,CY,134.2,,4.3,30.28169014
1500,5,D,5,141,JW,126.15,CY,130.97,,4.82,34.18439716
1500,5,D,14,143,JW,128.5,CY,133.44,,4.94,34.54545455
1500,5,D,27,141,JW,126.29,CY,130.96,,4.67,33.12056738
1800,6,U,5,141,JW,126.7,CY,130.7,,4,28.36879433
1800,6,U,14,141,JW,127.89,CY,131.93,,4.04,28.65248227
1800,6,U,27,143,JW,129.71,CY,133.67,,3.96,27.69230769
1800,6,D,5,141,JW,129.87,CY,134.18,,4.31,30.56737589
1800,6,D,14,142,JW,129.98,CY,134.15,,4.17,29.36619718
1800,6,D,27,142,JW,130.02,CY,134.2,,4.18,29.43661972
2100,7,U,5,141,JW,130.41,CY,134.13,,3.72,26.38297872
2100,7,U,14,142,JW,133.02,CY,136.85,,3.83,26.97183099
2100,7,U,27,142,JW,129.35,CY,133.1,,3.75,26.4084507
2100,7,D,5,141,JW,132.22,CY,135.97,,3.75,26.59574468
2100,7,D,14,142,JW,129.49,CY,133.39,,3.9,27.46478873
2100,7,D,27,140,JW,131.65,CY,135.54,,3.89,27.78571429
2400,8,U,5,141,JW,129.97,CY,133.9,,3.93,27.87234043
2400,8,U,14,142,JW,128.35,CY,131.88,,3.53,24.85915493
2400,8,U,27,140,JW,127.67,CY,131.15,,3.48,24.85714286
2400,8,D,5,142,JW,128.94,CY,132.56,,3.62,25.49295775
2400,8,D,14,141,JW,129.66,CY,133.2,,3.54,25.10638298
2400,8,D,27,141,JW,129.87,CY,133.45,,3.58,25.39007092
2700,9,U,5,139,JW,128.08,CY,131.36,,3.28,23.5971223
2700,9,U,14,140,JW,130.02,CY,133.35,,3.33,23.78571429
2700,9,U,27,140,JW,126.33,CY,129.75,,3.42,24.42857143
2700,9,D,5,140,JW,128.64,CY,132.18,,3.54,25.28571429
2700,9,D,14,142,JW,127.58,CY,132.41,,4.83,34.01408451
2700,9,D,27,139,JW,129.53,CY,132.8,,3.27,23.52517986
3000,10,U,5,140,JW,129.41,CY,132.58,,3.17,22.64285714
3000,10,U,14,141,JW,130.47,CY,133.91,,3.44,24.39716312
3000,10,U,27,139,JW,127.96,CY,131.12,,3.16,22.73381295
3000,10,D,5,140,JW,127.23,CY,130.35,,3.12,22.28571429
3000,10,D,14,141,JW,129.86,CY,133,,3.14,22.26950355
3000,10,D,27,141,JW,129.23,CY,132.31,,3.08,21.84397163
3300,11,U,5,141,JW,131.43,CY,134.34,,2.91,20.63829787
3300,11,U,14,142,JW,126.13,CY,129.35,,3.22,22.67605634
3300,11,U,27,141,JW,126.55,CY,129.73,,3.18,22.55319149
3300,11,D,5,141,JW,130.62,CY,133.44,,2.82,20
3300,11,D,14,141,JW,131.73,CY,134.72,,2.99,21.20567376
3300,11,D,27,140,JW,128.33,CY,131.32,,2.99,21.35714286
3600,12,U,5,134,JW,127.98,CY,132.05,,4.07,30.37313433
3600,12,U,14,143,JW,130.76,CY,135.13,,4.37,30.55944056
3600,12,U,27,140,JW,129.96,CY,132.73,,2.77,19.78571429
3600,12,D,5,141,JW,130.72,CY,133.45,,2.73,19.36170213
3600,12,D,14,141,JW,131.17,CY,134,,2.83,20.07092199
