weigh date,time series,Location,Height,Volume (mL),Filter Weight (mg),Filter+Sediment Weight (mg),sediment weight,mass volume concentration (ppm)
Oct 5,17,D,27,137,125.34,125.42,0.08,0.5839416058
Oct 5,18,U,5,139,127.49,128.58,1.09,7.841726619
Oct 5,18,U,14,140,124.82,125.46,0.64,4.571428571
Oct 5,18,U,27,142,125.96,126.97,1.01,7.112676056
Oct 5,18,D,5,138,128.17,129,0.83,6.014492754
Oct 5,18,D,14,137,128.29,129.15,0.86,6.277372263
Oct 5,18,D,27,139,128.9,129.3,0.4,2.877697842
Oct 5,19,U,5,144,126.12,126.91,0.79,5.486111111
Oct 5,19,U,14,142,126.59,127.32,0.73,5.14084507
Oct 5,19,U,27,143,127.57,128.38,0.81,5.664335664
Oct 5,19,D,5,137,128.13,128.97,0.84,6.131386861
Oct 5,19,D,14,137,127.63,128.36,0.73,5.328467153
Oct 5,19,D,27,140,127.96,128.49,0.53,3.785714286
Oct 5,20,U,5,144,128.29,129.1,0.81,5.625
Oct 5,20,U,14,143,128.43,129.24,0.81,5.664335664
Oct 5,20,U,27,144,126.18,126.7,0.52,3.611111111
Oct 5,20,D,5,136,126.14,126.95,0.81,5.955882353
Oct 5,20,D,14,139,126.37,127.01,0.64,4.604316547
Oct 5,20,D,27,137,125.48,125.94,0.46,3.357664234
Oct 5,21,U,5,143,124.37,125.02,0.65,4.545454545
Oct 5,21,U,14,143,125.49,126.09,0.6,4.195804196
Oct 5,21,U,27,138,124.29,124.98,0.69,5
Oct 5,21,D,5,138,128.33,129.46,1.13,8.188405797
Oct 5,21,D,14,140,125.78,126.7,0.92,6.571428571
Oct 5,21,D,27,138,125.8,126.67,0.87,6.304347826
