weigh date,time series,Location,Height,Volume (mL),Filter Weight (mg),Filter+Sediment Weight (mg),sediment weight,mass volume concentration (ppm),
Oct 3,19,U,27,140,124.88,126.11,1.23,8.785714286,
Oct 3,19,D,5,139,126.37,127.38,1.01,7.26618705,
Oct 3,19,D,14,142,126.67,127.77,1.10,7.746478873,
Oct 3,19,D,27,143,124.94,126.16,1.22,8.531468531,
Sep 27,20,U,5,137,127.31,128.52,1.21,8.832116788,
Sep 27,20,U,14,144,127.83,129.16,1.33,9.236111111,
Sep 27,20,U,27,142,125.86,127.23,1.37,9.647887324,
Sep 27,20,D,5,140,127.08,128.22,1.14,8.142857143,
Sep 27,20,D,14,139,126.94,128.21,1.27,9.136690647,
Sep 27,20,D,27,141,124.31,125.59,1.28,9.078014184,
