Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,139,CY,131.42,JW,139.14,JW,7.72,55.53956835
300,1,U,14,142,CY,127.04,JW,134.38,JW,7.34,51.69014085
300,1,U,27,142,CY,130.76,JW,136.97,JW,6.21,43.73239437
300,1,D,5,144,CY,129.65,JW,138.6,JW,8.95,62.15277778
300,1,D,14,143,CY,129.66,JW,138.23,JW,8.57,59.93006993
300,1,D,27,144,CY,128.2,JW,136.14,JW,7.94,55.13888889
600,2,U,5,144,CY,132.12,JW,139.36,JW,7.24,50.27777778
600,2,U,14,143,CY,127.29,JW,134.55,JW,7.26,50.76923077
600,2,U,27,143,CY,131.63,JW,138.77,JW,7.14,49.93006993
600,2,D,5,143,CY,129.89,JW,137.53,JW,7.64,53.42657343
600,2,D,14,144,CY,128.43,JW,135.86,JW,7.43,51.59722222
600,2,D,27,143,CY,132.45,JW,139.98,JW,7.53,52.65734266
900,3,U,5,142,CY,129.29,JW,135.43,JW,6.14,43.23943662
900,3,U,14,144,CY,129.62,JW,135.74,JW,6.12,42.5
900,3,U,27,144,CY,131.13,JW,136.99,JW,5.86,40.69444444
900,3,D,5,143,CY,128.39,JW,134.8,JW,6.41,44.82517483
900,3,D,14,144,CY,130.15,JW,136.8,JW,6.65,46.18055556
900,3,D,27,143,CY,129.11,JW,135.42,JW,6.31,44.12587413
1200,4,U,5,138,CY,131.65,JW,134.56,JW,2.91,21.08695652
1200,4,U,14,140,CY,132.24,JW,137.59,JW,5.35,38.21428571
1200,4,U,27,143,CY,129.44,JW,134.74,JW,5.3,37.06293706
1200,4,D,5,143,CY,130.97,JW,136.78,JW,5.81,40.62937063
1200,4,D,14,144,CY,131.86,JW,137.59,JW,5.73,39.79166667
1200,4,D,27,143,CY,129.6,JW,135.25,JW,5.65,39.51048951
1500,5,U,5,143,CY,131.22,JW,135.87,JW,4.65,32.51748252
1500,5,U,14,141,CY,132.89,JW,137.77,JW,4.88,34.60992908
1500,5,U,27,142,CY,132.02,JW,136.53,JW,4.51,31.76056338
1500,5,D,5,143,CY,129.08,JW,134.28,JW,5.2,36.36363636
1500,5,D,14,144,CY,131.69,JW,136.75,JW,5.06,35.13888889
1500,5,D,27,145,CY,131.66,JW,136.73,JW,5.07,34.96551724
1800,6,U,5,135,CY,130.11,JW,134.09,JW,3.98,29.48148148
1800,6,U,14,142,CY,129.67,JW,134.06,JW,4.39,30.91549296
1800,6,U,27,141,CY,131.54,JW,135.9,JW,4.36,30.92198582
1800,6,D,5,143,CY,130.52,JW,135.12,JW,4.6,32.16783217
1800,6,D,14,143,CY,132.44,JW,137.27,JW,4.83,33.77622378
1800,6,D,27,144,CY,132.95,JW,137.56,JW,4.61,32.01388889
