Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
,1,U,5,143,CY,128.06,NU,136.13,NU,8.07,56.43356643
,1,U,14,143,EC,130.76,NU,138.05,NU,7.29,50.97902098
,1,U,27,142,EC,130.11,NU,137.42,NU,7.31,51.47887324
,1,D,5,143,CY,128.8,NU,137.14,NU,8.34,58.32167832
,1,D,14,142,EC,128.03,NU,136.31,NU,8.28,58.30985915
,1,D,27,144,EC,128.09,NU,135.24,NU,7.15,49.65277778
,2,U,5,141,CY,127.43,NU,133.82,NU,6.39,45.31914894
,2,U,14,143,CY,127.97,NU,133.9,NU,5.93,41.46853147
,2,U,27,143,CY,129.87,NU,136.24,NU,6.37,44.54545455
,2,D,5,142,CY,130.2,NU,136.31,NU,6.11,43.02816901
,2,D,14,143,CY,128.88,NU,135.28,NU,6.4,44.75524476
,2,D,27,144,CY,128.2,NU,134.24,NU,6.04,41.94444444
,3,U,5,143,CY,129.64,NU,134.96,NU,5.32,37.2027972
,3,U,14,144,CY,128.04,NU,133.06,NU,5.02,34.86111111
,3,U,27,143,CY,128.39,NU,133.68,NU,5.29,36.99300699
,3,D,5,142,CY,128.04,NU,133.41,NU,5.37,37.81690141
,3,D,14,143,CY,127.99,NU,133.52,NU,5.53,38.67132867
,3,D,27,142,CY,127.43,NU,132.72,NU,5.29,37.25352113
,4,U,5,143,CY,128.55,NU,133.25,NU,4.7,32.86713287
,4,U,14,143,CY,132.96,NU,137.29,NU,4.33,30.27972028
,4,U,27,142,CY,133.72,NU,138.33,NU,4.61,32.46478873
,4,D,5,140,CY,132.44,NU,137.07,NU,4.63,33.07142857
,4,D,14,143,CY,132.79,NU,137.43,NU,4.64,32.44755245
,4,D,27,142,CY,131,NU,135.74,NU,4.74,33.38028169
,5,U,5,142,CY,132.55,NU,136.71,NU,4.16,29.29577465
,5,U,14,143,CY,131.97,NU,135.73,NU,3.76,26.29370629
,5,U,27,143,CY,132.1,NU,136.31,NU,4.21,29.44055944
,5,D,5,143,CY,130.89,NU,135.04,NU,4.15,29.02097902
,5,D,14,143,CY,132.25,NU,136.64,NU,4.39,30.6993007
,5,D,27,144,CY,131.03,NU,135.14,NU,4.11,28.54166667
,6,U,5,141,CY,132.11,NU,135.84,JW,3.73,26.45390071
,6,U,14,144,CY,129.75,NU,133.37,JW,3.62,25.13888889
,6,U,27,142,CY,130.09,NU,133.9,JW,3.81,26.83098592
,6,D,5,143,CY,131.23,NU,135.07,JW,3.84,26.85314685
,6,D,14,143,CY,132.26,NU,136.14,JW,3.88,27.13286713
,6,D,27,141,CY,130.81,NU,134.34,JW,3.53,25.03546099
,7,U,5,144,CY,132.57,EC,136.1,JW,3.53,24.51388889
,7,U,14,143,CY,133.6,EC,136.44,JW,2.84,19.86013986
,7,U,27,142,CY,133.73,EC,137.11,JW,3.38,23.8028169
,7,D,5,143,CY,132.79,EC,136.33,JW,3.54,24.75524476
,7,D,14,144,CY,128.87,EC,132.49,JW,3.62,25.13888889
,7,D,27,142,CY,131.07,EC,134.48,JW,3.41,24.01408451
,8,U,5,144,CY,131.43,EC,134.67,JW,3.24,22.5
,8,U,14,145,CY,130.82,EC,133.73,JW,2.91,20.06896552
,8,U,27,144,CY,130.77,EC,133.87,JW,3.1,21.52777778
,8,D,5,143,CY,133.02,EC,136.34,JW,3.32,23.21678322
,8,D,14,144,CY,131.82,EC,135,JW,3.18,22.08333333
,8,D,27,145,CY,134.5,EC,137.49,JW,2.99,20.62068966
,9,U,5,144,CY,133.14,EC,136.08,JW,2.94,20.41666667
,9,U,14,144,CY,133.92,EC,136.36,JW,2.44,16.94444444
,9,U,27,144,CY,134.75,EC,137.61,JW,2.86,19.86111111
,9,D,5,144,CY,132.3,EC,135.27,JW,2.97,20.625
,9,D,14,143,CY,133.06,EC,135.98,JW,2.92,20.41958042
,9,D,27,144,CY,132.15,EC,135.19,JW,3.04,21.11111111
,10,U,5,143,CY,134.34,EC,136.99,JW,2.65,18.53146853
,10,U,14,139,CY,131.87,EC,134.34,JW,2.47,17.76978417
,10,U,27,143,CY,133.53,EC,136.23,JW,2.7,18.88111888
,10,D,5,144,CY,130.21,EC,133.03,JW,2.82,19.58333333
,10,D,14,144,CY,132.73,EC,135.45,JW,2.72,18.88888889
