Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
,1,U,5,139,all jw,132.33,all jw,134.05,all jw,1.72,12.37410072
,1,U,14,141,,131.21,,132.98,,1.77,12.55319149
,1,U,27,140,,130.52,,131.98,,1.46,10.42857143
,1,D,5,139,,131.64,,138.23,,6.59,47.41007194
,1,D,14,142,,130,,132.03,,2.03,14.29577465
,1,D,27,139,,130.8,,131.8,,1,7.194244604
,2,U,5,142,,133.53,,133.86,,0.33,2.323943662
,2,U,14,142,,129.7,,130.26,,0.56,3.943661972
,2,U,27,138,,130.07,,130.6,,0.53,3.84057971
,2,D,5,140,,132.26,,133.57,,1.31,9.357142857
,2,D,14,142,,133.21,,134.16,,0.95,6.690140845
,2,D,27,142,,131.87,,134.16,not a typo,2.29,16.12676056
,3,U,5,143,,130.11,,131,,0.89,6.223776224
,3,U,14,141,,132.24,,133.96,,1.72,12.19858156
,3,U,27,142,,129.97,,131.67,,1.7,11.97183099
,3,D,5,139,,130.74,,131.59,,0.85,6.115107914
,3,D,14,142,,134,,135.5,,1.5,10.56338028
,3,D,27,141,,132.43,,134.56,,2.13,15.10638298
,4,U,5,140,,130.73,,131.7,,0.97,6.928571429
,5,U,14,mislabeled,,130.32,,,,na,na
,4,U,27,140,,130.6,,131.6,,1,7.142857143
,4,D,5,140,,131.79,,132.65,,0.86,6.142857143
,4,D,14,141,,133.26,,134.39,,1.13,8.014184397
,4,D,27,140,,129.4,,130.11,,0.71,5.071428571
,5,U,5,141,,130.24,,131.34,,1.1,7.80141844
,5,U,14,141,,130.77,,131.27,,0.5,3.546099291
,5,U,27,142,,132.32,,132.7,,0.38,2.676056338
,5,D,5,141,,130.35,,131.32,,0.97,6.879432624
,5,D,14,141,,131.07,,132.17,,1.1,7.80141844
,5,D,27,142,,133.68,,134.23,,0.55,3.873239437
,6,U,5,140,,129.73,,130.31,,0.58,4.142857143
,6,U,14,142,,134.65,,136.42,,1.77,12.46478873
,6,U,27,140,,129.41,,130.25,,0.84,6
,6,D,5,140,,133.5,,134.8,,1.3,9.285714286
,6,D,14,142,,133.89,,135.03,,1.14,8.028169014
,6,D,27,141,,135.95,,136.66,,0.71,5.035460993
,7,U,5,141,,133.14,,134.84,,1.7,12.05673759
,7,U,14,141,,133.93,,134.81,,0.88,6.241134752
,7,U,27,141,,135.11,,136.24,,1.13,8.014184397
,7,D,5,139,,128.55,,129.26,,0.71,5.107913669
,7,D,14,141,,131.97,,133.32,,1.35,9.574468085
,7,D,27,139,,129.67,,130.21,,0.54,3.884892086
,8,U,5,140,,132.04,,132.87,,0.83,5.928571429
,8,U,14,143,,131.76,,132.38,,0.62,4.335664336
,8,U,27,143,,129.33,,130.19,,0.86,6.013986014
,8,D,5,140,,132.69,,133.15,,0.46,3.285714286
,8,D,14,142,,130.47,,130.64,,0.17,1.197183099
,8,D,27,140,,133.02,,134.05,,1.03,7.357142857
,9,U,5,140,,133.86,,135.28,,1.42,10.14285714
,9,U,14,143,,132.45,,132.93,,0.48,3.356643357
,9,U,27,142,,133.7,,134,,0.3,2.112676056
,9,D,5,140,,132.4,,132.68,,0.28,2
,9,D,14,142,,133.78,,134.13,,0.35,2.464788732
,9,D,27,142,,130.72,,131.04,,0.32,2.253521127
,10,U,5,140,,131.47,,132.49,,1.02,7.285714286
,10,U,14,142,,132.33,,133.75,,1.42,10
,10,U,27,140,,130.11,,131.56,,1.45,10.35714286
,10,D,5,140,,128.84,,129.68,,0.84,6
,10,D,14,140,,131.49,,132.5,,1.01,7.214285714
,10,D,27,136,,132.35,,132.74,,0.39,2.867647059
,11,U,5,141,,133.47,,134.62,,1.15,8.156028369
,11,U,14,143,,135.17,,136.55,,1.38,9.65034965
,11,U,27,141,,134.5,,135.31,,0.81,5.744680851
,11,D,5,141,,134.22,,135.37,,1.15,8.156028369
,11,D,14,140,,134.82,,135.49,,0.67,4.785714286
,11,D,27,141,,134.26,,135.91,,1.65,11.70212766
,12,U,5,141,,130.37,,131.98,,1.61,11.41843972
,12,U,14,142,,129.38,,130.5,,1.12,7.887323944
,12,U,27,141,,133,,134.17,,1.17,8.29787234
,12,D,5,140,,134.55,,135.35,,0.8,5.714285714
,12,D,14,142,,133.68,,133.93,,0.25,1.76056338
,12,D,27,141,,129.48,,129.84,,0.36,2.553191489
,13,U,5,140,,131.68,,132.14,,0.46,3.285714286
,13,U,14,140,,130.12,,130.78,,0.66,4.714285714
,13,U,27,139,,132.68,,133.73,,1.05,7.553956835
,13,D,5,140,,129.62,,130.15,,0.53,3.785714286
,13,D,14,141,,135.11,,135.27,,0.16,1.134751773
,13,D,27,140,,132.12,,132.45,,0.33,2.357142857
,14,U,5,139,,133.04,,133.23,,0.19,1.366906475
,14,U,14,143,,130.13,,130.61,,0.48,3.356643357
,14,U,27,142,,129.54,,130.22,,0.68,4.788732394
,14,D,5,140,,128.73,,129.98,,1.25,8.928571429
,14,D,14,142,,129.47,,129.87,,0.4,2.816901408
,14,D,27,141,,130.41,,131.49,,1.08,7.659574468
,15,U,5,140,,136.05,,137.28,,1.23,8.785714286
,15,U,14,140,,128.52,,129.16,,0.64,4.571428571
,15,U,27,142,,130.55,,131.04,,0.49,3.450704225
,15,D,5,140,,128.02,,128.77,,0.75,5.357142857
,15,D,14,141,,130.12,,130.59,,0.47,3.333333333
,15,D,27,142,,131.96,,132.2,,0.24,1.690140845
,16,U,5,140,,132.08,,132.3,,0.22,1.571428571
,16,U,14,142,,130.49,,130.95,,0.46,3.23943662
,16,U,27,141,,132.86,,133.82,,0.96,6.808510638
,16,D,5,140,,134.78,,135.65,,0.87,6.214285714
,16,D,14,135,,131.21,,131.8,,0.59,4.37037037
,16,D,27,140,,134.34,,134.75,,0.41,2.928571429
,17,U,5,143,,130.44,,130.55,,0.11,0.7692307692
,17,U,14,142,,135.01,,136.06,,1.05,7.394366197
,17,U,27,142,,134.1,,134.55,,0.45,3.169014085
,17,D,5,139,,130.51,,130.8,,0.29,2.086330935
,17,D,14,143,,132.3,,132.89,,0.59,4.125874126
,17,D,27,143,,131.52,,132.51,,0.99,6.923076923
,18,U,5,138,,136.3,,136.58,,0.28,2.028985507
,18,U,14,140,,135.45,,136.85,,1.4,10
,18,U,27,141,,134.04,,134.68,,0.64,4.539007092
,18,D,5,140,,133.03,,133.47,,0.44,3.142857143
,18,D,14,141,,136.16,,136.66,,0.5,3.546099291
,18,D,27,144,,129.44,,129.59,,0.15,1.041666667
,19,U,5,141,,131.41,,132.32,,0.91,6.453900709
,19,U,14,142,,130.73,,130.95,,0.22,1.549295775
,19,U,27,140,,127.8,,128.78,,0.98,7
,19,D,5,140,,134.2,,135.28,,1.08,7.714285714
,19,D,14,140,,131.73,,132.08,,0.35,2.5
,19,D,27,141,,132.56,,132.88,,0.32,2.269503546
