Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,136,CY,131.44,CY,137.53,CY,6.09,44.77941176
300,1,U,14,141,CY,128.96,CY,136.86,CY,7.9,56.02836879
300,1,U,27,144,CY,128.14,CY,135.67,CY,7.53,52.29166667
300,1,D,5,138,CY,128.57,CY,135.87,CY,7.3,52.89855072
300,1,D,14,143,CY,130.97,CY,138.49,CY,7.52,52.58741259
300,1,D,27,138,CY,125.81,CY,132.42,CY,6.61,47.89855072
720,2,U,5,137,CY,131.21,CY,136.93,CY,5.72,41.75182482
720,2,U,14,140,CY,130.55,CY,136.79,CY,6.24,44.57142857
720,2,U,27,144,CY,128.05,CY,134.48,CY,6.43,44.65277778
720,2,D,5,140,CY,129.04,CY,135.14,CY,6.1,43.57142857
720,2,D,14,144,CY,129.79,CY,136.07,CY,6.28,43.61111111
720,2,D,27,140,CY,128.34,CY,134.12,CY,5.78,41.28571429
1040,3,U,5,141,CY,128.28,CY,133.45,CY,5.17,36.66666667
1040,3,U,14,138,CY,127.49,CY,132.56,CY,5.07,36.73913043
1040,3,U,27,142,CY,127.63,CY,132.62,CY,4.99,35.14084507
1040,3,D,5,138,CY,128.85,CY,134.08,CY,5.23,37.89855072
1040,3,D,14,140,CY,128.99,CY,134.14,CY,5.15,36.78571429
1040,3,D,27,139,CY,127.8,CY,132.8,CY,5,35.97122302
1320,4,U,5,144,CY,126.48,CY,131.44,CY,4.96,34.44444444
1320,4,U,14,143,CY,126.23,CY,130.99,CY,4.76,33.28671329
1320,4,U,27,141,CY,126.56,CY,131.25,CY,4.69,33.26241135
1320,4,D,5,140,CY,128.13,CY,132.87,CY,4.74,33.85714286
1320,4,D,14,144,CY,127.15,CY,132.06,CY,4.91,34.09722222
1320,4,D,27,141,CY,130.44,CY,135.12,CY,4.68,33.19148936
1620,5,U,5,144,CY,130.91,CY,135.36,CY,4.45,30.90277778
1620,5,U,14,139,CY,129.49,CY,133.76,CY,4.27,30.71942446
1620,5,U,27,144,CY,130.61,CY,134.91,CY,4.3,29.86111111
1620,5,D,5,139,CY,129.43,CY,133.56,CY,4.13,29.71223022
1620,5,D,14,139,CY,130.28,CY,134.56,CY,4.28,30.79136691
1620,5,D,27,140,CY,130.27,CY,134.51,CY,4.24,30.28571429
1950,6,U,5,142,CY,129.75,CY,133.67,CY,3.92,27.6056338
1950,6,U,14,137,CY,128.88,CY,132.49,CY,3.61,26.35036496
1950,6,U,27,143,CY,130.02,CY,133.84,CY,3.82,26.71328671
1950,6,D,5,137,CY,129.98,CY,133.62,CY,3.64,26.56934307
1950,6,D,14,143,CY,132.06,CY,135.93,CY,3.87,27.06293706
1950,6,D,27,142,CY,129.69,CY,133.58,CY,3.89,27.3943662
2220,7,U,5,142,CY,131.61,CY,135.66,CY,4.05,28.52112676
2220,7,U,14,139,CY,131.07,CY,134.34,CY,3.27,23.52517986
2220,7,U,27,141,CY,134.62,CY,138.01,CY,3.39,24.04255319
2220,7,D,5,141,CY,132.12,CY,135.33,CY,3.21,22.76595745
2220,7,D,14,145,CY,132.68,CY,135.78,CY,3.1,21.37931034
2220,7,D,27,143,CY,131.37,CY,135.11,CY,3.74,26.15384615
2535,8,U,5,144,CY,129.85,CY,133.16,CY,3.31,22.98611111
2535,8,U,14,137,CY,131.28,CY,134.63,CY,3.35,24.45255474
2535,8,U,27,144,CY,131.4,CY,134.07,CY,2.67,18.54166667
2535,8,D,5,140,CY,130.87,CY,134.37,CY,3.5,25
2535,8,D,14,140,CY,132.53,CY,134.8,CY,2.27,16.21428571
2535,8,D,27,141,CY,132.97,CY,136,CY,3.03,21.4893617
2820,9,U,5,142,CY,129.71,CY,132.86,CY,3.15,22.18309859
2820,9,U,14,137,CY,130.21,CY,133.39,CY,3.18,23.21167883
2820,9,U,27,143,CY,132.49,CY,135.54,CY,3.05,21.32867133
2820,9,D,5,138,CY,132.98,CY,135.75,CY,2.77,20.07246377
2820,9,D,14,140,CY,130.15,CY,132.76,CY,2.61,18.64285714
2820,9,D,27,139,CY,131.42,CY,134.74,CY,3.32,23.88489209
3120,10,U,5,145,CY,131.32,CY,134.19,CY,2.87,19.79310345
3120,10,U,14,139,CY,130.24,CY,133.39,CY,3.15,22.6618705
3120,10,U,27,141,CY,131.44,CY,133.91,CY,2.47,17.5177305
3120,10,D,5,137,CY,130.82,CY,133.81,CY,2.99,21.82481752
3120,10,D,14,141,CY,132.01,CY,134.28,CY,2.27,16.09929078
3120,10,D,27,137,CY,130.13,CY,133.3,CY,3.17,23.13868613
3420,11,U,5,140,CY,131.95,CY,134.5,CY,2.55,18.21428571
3420,11,U,14,139,CY,133.2,CY,135.95,CY,2.75,19.78417266
3420,11,U,27,141,CY,131.02,CY,133.91,CY,2.89,20.4964539
3420,11,D,5,141,CY,129.77,CY,132.96,CY,3.19,22.62411348
3420,11,D,14,143,CY,132.91,CY,135.86,CY,2.95,20.62937063
3420,11,D,27,142,CY,128.01,CY,130.93,CY,2.92,20.56338028
3730,12,U,5,144,CY,130.56,CY,132.08,CY,1.52,10.55555556
3730,12,U,14,139,CY,132.14,CY,134.35,CY,2.21,15.89928058
3730,12,U,27,141,CY,131.78,CY,133.22,CY,1.44,10.21276596
3730,12,D,5,135,CY,131.07,CY,132.51,CY,1.44,10.66666667
3730,12,D,14,134,CY,131.6,CY,133.79,CY,2.19,16.34328358
3730,12,D,27,133,CY,131.34,CY,133.19,CY,1.85,13.90977444
4040,13,U,5,141,CY,132.42,CY,134.71,CY,2.29,16.24113475
4040,13,U,14,138,CY,130.71,CY,132.6,CY,1.89,13.69565217
4040,13,U,27,143,CY,132.69,CY,135.16,CY,2.47,17.27272727
4040,13,D,5,136,CY,131.35,CY,133.49,CY,2.14,15.73529412
4040,13,D,14,140,CY,131.97,CY,133.5,CY,1.53,10.92857143
4040,13,D,27,138,CY,130.81,CY,132.28,CY,1.47,10.65217391
4320,14,U,5,140,CY,131.14,CY,132.78,CY,1.64,11.71428571
4320,14,U,14,138,CY,132.64,CY,134.29,CY,1.65,11.95652174
4320,14,U,27,141,CY,133.73,CY,135.76,CY,2.03,14.39716312
4320,14,D,5,138,CY,129.92,CY,132.52,CY,2.6,18.84057971
4320,14,D,14,139,CY,129.33,CY,131.12,CY,1.79,12.87769784
4320,14,D,27,139,CY,132.43,CY,133.78,CY,1.35,9.712230216
4620,15,U,5,144,CY,133.09,CY,135.22,CY,2.13,14.79166667
4620,15,U,14,141,CY,132.71,CY,135.01,CY,2.3,16.31205674
4620,15,U,27,143,CY,130.02,CY,132.31,CY,2.29,16.01398601
4620,15,D,5,137,CY,131.13,CY,133.36,CY,2.23,16.27737226
4620,15,D,14,141,CY,131.49,CY,133.74,CY,2.25,15.95744681
4620,15,D,27,138,CY,130.57,CY,132.76,CY,2.19,15.86956522
4950,16,U,5,141,CY,131.28,CY,133.47,CY,2.19,15.53191489
4950,16,U,14,138,CY,130.86,CY,133,CY,2.14,15.50724638
4950,16,U,27,142,CY,130.39,CY,132.45,CY,2.06,14.50704225
4950,16,D,5,141,CY,132.26,CY,134.27,CY,2.01,14.25531915
4950,16,D,14,141,CY,131.42,CY,133.67,CY,2.25,15.95744681
4950,16,D,27,140,CY,130.17,CY,131.65,CY,1.48,10.57142857
5240,17,U,5,144,CY,132.7,CY,134.67,CY,1.97,13.68055556
5240,17,U,14,139,CY,132.17,CY,134.15,CY,1.98,14.24460432
5240,17,U,27,144,CY,132.49,CY,134.39,CY,1.9,13.19444444
5240,17,D,5,141,CY,132.32,CY,134.28,CY,1.96,13.90070922
5240,17,D,14,139,CY,131.73,CY,133.71,CY,1.98,14.24460432
5240,17,D,27,139,CY,130.57,CY,132.72,CY,2.15,15.4676259
5520,18,U,5,141,CY,130.17,CY,132.21,CY,2.04,14.46808511
5520,18,U,14,140,CY,132.32,CY,134.31,CY,1.99,14.21428571
5520,18,U,27,141,CY,129.99,CY,131.99,CY,2,14.18439716
5520,18,D,5,138,CY,131.5,CY,133.35,CY,1.85,13.4057971
5520,18,D,14,140,CY,130.72,CY,132.33,CY,1.61,11.5
5520,18,D,27,138,CY,129.65,CY,131.53,CY,1.88,13.62318841
5820,19,U,5,144,CY,131.25,CY,132.96,CY,1.71,11.875
5820,19,U,14,143,CY,131.14,CY,133.12,CY,1.98,13.84615385
5820,19,U,27,143,CY,130.77,CY,132.5,CY,1.73,12.0979021
5820,19,D,5,137,CY,130.2,CY,132.03,CY,1.83,13.35766423
5820,19,D,14,135,CY,133.03,CY,134.73,CY,1.7,12.59259259
5820,19,D,27,139,CY,132.48,CY,134.45,CY,1.97,14.17266187
