Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,142,NU,131.85,EC,141.78,CY,9.93,69.92957746
300,1,U,14,143,NU,129.24,EC,138.33,CY,9.09,63.56643357
300,1,U,27,142,NU,131.69,EC,140.83,CY,9.14,64.36619718
300,1,D,5,140,NU,130.05,EC,137.78,CY,7.73,55.21428571
300,1,D,14,141,NU,131.72,EC,140.83,CY,9.11,64.60992908
300,1,D,27,143,NU,131.72,EC,139.75,CY,8.03,56.15384615
600,2,U,5,142,NU,132.11,EC,139.94,CY,7.83,55.14084507
600,2,U,14,142,NU,132.15,EC,139.55,CY,7.4,52.11267606
600,2,U,27,141,NU,132.4,EC,139.53,CY,7.13,50.56737589
600,2,D,5,141,NU,131.15,EC,138.6,CY,7.45,52.83687943
600,2,D,14,142,NU,131.46,EC,139.49,CY,8.03,56.54929577
600,2,D,27,143,NU,132.31,EC,139.61,CY,7.3,51.04895105
900,3,U,5,142,NU,132.21,EC,138.26,CY,6.05,42.6056338
900,3,U,14,142,NU,129.39,EC,135.14,CY,5.75,40.49295775
900,3,U,27,142,NU,132.23,EC,138.28,CY,6.05,42.6056338
900,3,D,5,139,NU,131.38,EC,137.41,CY,6.03,43.38129496
900,3,D,14,141,NU,131.2,EC,138.31,CY,7.11,50.42553191
900,3,D,27,140,NU,132.45,EC,138.65,CY,6.2,44.28571429
1200,4,U,5,137,NU,133.92,EC,138.74,CY,4.82,35.18248175
1200,4,U,14,137,NU,132.34,EC,137.1,CY,4.76,34.74452555
1200,4,U,27,140,NU,132.22,EC,137.2,CY,4.98,35.57142857
1200,4,D,5,136,NU,132.34,EC,137.48,CY,5.14,37.79411765
1200,4,D,14,141,NU,132.81,EC,138.54,CY,5.73,40.63829787
1200,4,D,27,138,NU,128.16,EC,133.44,CY,5.28,38.26086957
1500,5,U,5,141,NU,131.93,EC,136.51,CY,4.58,32.4822695
1500,5,U,14,141,NU,132.65,EC,137.25,CY,4.6,32.62411348
1500,5,U,27,141,NU,130.12,EC,134.44,CY,4.32,30.63829787
1500,5,D,5,135,NU,134.03,EC,138.74,CY,4.71,34.88888889
1500,5,D,14,137,NU,134.8,EC,139.51,CY,4.71,34.37956204
1500,5,D,27,136,NU,128.78,EC,133.53,CY,4.75,34.92647059
1800,6,U,5,136,NU,131.68,EC,135.54,CY,3.86,28.38235294
1800,6,U,14,139,NU,129.96,EC,133.81,CY,3.85,27.69784173
1800,6,U,27,140,NU,132.04,EC,136.07,CY,4.03,28.78571429
1800,6,D,5,134,NU,132.52,EC,136.49,CY,3.97,29.62686567
1800,6,D,14,138,NU,130.2,EC,134.33,CY,4.13,29.92753623
1800,6,D,27,136,NU,129.15,EC,135.02,CY,5.87,43.16176471
2100,7,U,5,136,NU,130.91,EC,134.65,CY,3.74,27.5
2100,7,U,14,138,NU,127.8,EC,131.59,CY,3.79,27.46376812
2100,7,U,27,141,NU,130.09,EC,133.75,CY,3.66,25.95744681
2100,7,D,5,138,NU,128.85,EC,134.04,CY,5.19,37.60869565
2100,7,D,14,140,NU,130.43,EC,134.3,CY,3.87,27.64285714
2100,7,D,27,139,NU,129.49,EC,136.41,CY,6.92,49.78417266
2400,8,U,5,141,EC,132.41,EC,135.35,EC,2.94,20.85106383
2400,8,U,14,141,EC,131.91,EC,135.3,EC,3.39,24.04255319
2400,8,U,27,142,EC,132.3,EC,135.74,EC,3.44,24.22535211
2400,8,D,5,139,EC,128.3,EC,131.78,EC,3.48,25.03597122
2400,8,D,14,141,EC,129.33,EC,132.84,EC,3.51,24.89361702
2400,8,D,27,141,EC,129.79,EC,133.42,EC,3.63,25.74468085
2700,9,U,5,140,EC,128.59,EC,131.99,EC,3.4,24.28571429
2700,9,U,14,139,EC,128.65,EC,132.14,EC,3.49,25.10791367
2700,9,U,27,141,EC,130.02,EC,133.58,EC,3.56,25.24822695
2700,9,D,5,136,EC,126.63,EC,129.85,EC,3.22,23.67647059
2700,9,D,14,142,EC,128.19,EC,131.68,EC,3.49,24.57746479
2700,9,D,27,137,EC,129.79,EC,132.97,EC,3.18,23.21167883
3000,10,U,5,142,EC,133.72,EC,137.03,EC,3.31,23.30985915
3000,10,U,14,142,EC,131.3,EC,134.39,EC,3.09,21.76056338
3000,10,U,27,141,EC,130.16,EC,133.5,EC,3.34,23.68794326
3000,10,D,5,136,EC,130.36,EC,133.49,EC,3.13,23.01470588
3000,10,D,14,141,EC,131.89,EC,135.03,EC,3.14,22.26950355
3000,10,D,27,138,EC,129.36,EC,132.53,EC,3.17,22.97101449
3300,11,U,5,137,EC,132.39,EC,135.27,EC,2.88,21.02189781
3300,11,U,14,136,EC,132.66,EC,135.49,EC,2.83,20.80882353
