Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,140,EC,131.79,EC,138.09,EC,6.3,45
300,1,U,14,140,EC,131.13,EC,137.81,EC,6.68,47.71428571
300,1,U,27,142,EC,130.78,EC,137.46,EC,6.68,47.04225352
300,1,D,5,141,EC,129.23,EC,139.08,EC,9.85,69.85815603
300,1,D,14,142,EC,130.39,EC,138.91,EC,8.52,60
300,1,D,27,142,EC,130.99,EC,136.55,EC,5.56,39.15492958
600,2,U,5,143,EC,129.69,EC,136.39,EC,6.7,46.85314685
600,2,U,14,143,EC,130.46,EC,136.82,EC,6.36,44.47552448
600,2,U,27,141,EC,129.78,EC,135.89,EC,6.11,43.33333333
600,2,D,5,138,EC,132.68,EC,138.89,EC,6.21,45
600,2,D,14,140,EC,131.16,EC,138.69,EC,7.53,53.78571429
600,2,D,27,139,EC,130.71,EC,137.22,EC,6.51,46.83453237
900,3,U,5,142,EC,129.14,EC,134.47,EC,5.33,37.53521127
900,3,U,14,143,EC,129.76,EC,135.15,EC,5.39,37.69230769
900,3,U,27,142,EC,130.96,EC,136.31,EC,5.35,37.67605634
900,3,D,5,141,EC,128.83,EC,133.99,EC,5.16,36.59574468
900,3,D,14,141,EC,132.37,EC,137.13,EC,4.76,33.75886525
900,3,D,27,142,EC,130.63,EC,135.06,EC,4.43,31.1971831
1200,4,U,5,142,EC,130.7,EC,135.63,EC,4.93,34.71830986
1200,4,U,14,144,EC,125.5,EC,130.41,EC,4.91,34.09722222
1200,4,U,27,143,EC,130.17,EC,134.76,EC,4.59,32.0979021
1200,4,D,5,142,EC,131,EC,135.77,EC,4.77,33.5915493
1200,4,D,14,141,EC,131.1,EC,136.66,EC,5.56,39.43262411
1200,4,D,27,142,EC,130.54,EC,135.63,EC,5.09,35.84507042
1500,5,U,5,141,EC,132.27,EC,136.48,EC,4.21,29.85815603
1500,5,U,14,143,EC,129.2,EC,133.28,EC,4.08,28.53146853
1500,5,U,27,142,EC,130.78,EC,135,EC,4.22,29.71830986
