Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,141,CY,129.2,NU,137.28,CY,8.08,57.30496454
300,1,U,14,143,CY,128.37,NU,136.71,CY,8.34,58.32167832
300,1,U,27,142,CY,128.81,NU,136.79,CY,7.98,56.1971831
300,1,D,5,139,CY,126.5,NU,140.84,CY,14.34,103.1654676
300,1,D,14,142,CY,129.05,NU,137.71,CY,8.66,60.98591549
300,1,D,27,140,CY,129.05,NU,134.95,CY,5.9,42.14285714
600,2,U,5,137,CY,129.01,NU,134.43,CY,5.42,39.5620438
600,2,U,14,144,CY,128.33,NU,134.12,CY,5.79,40.20833333
600,2,U,27,136,CY,130.08,NU,135.27,CY,5.19,38.16176471
600,2,D,5,140,CY,127.62,NU,134.82,CY,7.2,51.42857143
600,2,D,14,142,CY,128.57,NU,134.35,CY,5.78,40.70422535
600,2,D,27,139,CY,128.58,NU,133.32,CY,4.74,34.10071942
900,3,U,5,142,CY,128.55,NU,134.94,CY,6.39,45
900,3,U,14,141,CY,126.99,NU,133.33,CY,6.34,44.96453901
900,3,U,27,142,CY,128.38,NU,133.84,CY,5.46,38.45070423
900,3,D,5,140,CY,129.75,NU,136.48,CY,6.73,48.07142857
900,3,D,14,136,CY,128.17,NU,134.62,CY,6.45,47.42647059
900,3,D,27,139,CY,127.92,NU,133.62,CY,5.7,41.00719424
1200,4,U,5,141,NU,129.46,NU,134.36,CY,4.9,34.75177305
1200,4,U,14,141,NU,128.89,NU,133.99,CY,5.1,36.17021277
1200,4,U,27,142,NU,128.88,NU,134.05,CY,5.17,36.4084507
1200,4,D,5,140,NU,129.54,NU,134.79,CY,5.25,37.5
1200,4,D,14,140,NU,125.59,NU,130.5,CY,4.91,35.07142857
1200,4,D,27,140,NU,128.89,NU,133.15,CY,4.26,30.42857143
1500,5,U,5,131,NU,130.2,NU,134.61,CY,4.41,33.66412214
1500,5,U,14,139,NU,127.43,NU,131.97,CY,4.54,32.6618705
1500,5,U,27,140,NU,128.1,NU,132.44,CY,4.34,31
1500,5,D,5,141,CY,128.78,CY,134.52,CY,5.74,40.70921986
1500,5,D,14,139,CY,128.71,CY,133.82,CY,5.11,36.76258993
1500,5,D,27,140,CY,129.9,CY,134.55,CY,4.65,33.21428571
1800,6,U,5,143,CY,128.41,CY,132.72,CY,4.31,30.13986014
1800,6,U,14,141,CY,128.02,CY,132.59,CY,4.57,32.41134752
1800,6,U,27,143,CY,126.34,CY,130.63,CY,4.29,30
1800,6,D,5,141,CY,127.28,CY,131.52,CY,4.24,30.07092199
1800,6,D,14,142,CY,127.63,CY,131.93,CY,4.3,30.28169014
1800,6,D,27,141,CY,127.61,CY,131.56,CY,3.95,28.0141844
2100,7,U,5,135,CY,129.36,CY,133.25,CY,3.89,28.81481481
2100,7,U,14,141,CY,128.59,CY,132.5,CY,3.91,27.73049645
2100,7,U,27,135,CY,127.94,CY,131.61,CY,3.67,27.18518519
2100,7,D,5,137,CY,128.55,CY,132.78,CY,4.23,30.87591241
2100,7,D,14,140,CY,128.59,CY,132.84,CY,4.25,30.35714286
2100,7,D,27,136,CY,128.28,CY,131.99,CY,3.71,27.27941176
2400,8,U,5,143,CY,128.23,CY,131.94,CY,3.71,25.94405594
2400,8,U,14,140,CY,128.7,CY,132.47,CY,3.77,26.92857143
2400,8,U,27,142,CY,127.16,CY,131,CY,3.84,27.04225352
2400,8,D,5,141,CY,129.83,CY,133.67,CY,3.84,27.23404255
2400,8,D,14,143,CY,127.44,CY,131.29,CY,3.85,26.92307692
2400,8,D,27,141,CY,125.6,CY,129.24,CY,3.64,25.81560284
2700,9,U,5,140,CY,127.22,CY,130.67,CY,3.45,24.64285714
2700,9,U,14,142,CY,128.12,CY,131.56,CY,3.44,24.22535211
2700,9,U,27,141,CY,128.08,CY,131.4,CY,3.32,23.54609929
2700,9,D,5,140,CY,129.35,CY,133.1,CY,3.75,26.78571429
2700,9,D,14,142,CY,130.36,CY,133.97,CY,3.61,25.42253521
2700,9,D,27,141,CY,128.96,CY,132.29,CY,3.33,23.61702128
3000,10,U,5,141,CY,129.23,CY,132.61,CY,3.38,23.97163121
3000,10,U,14,141,CY,129.27,CY,132.67,CY,3.4,24.11347518
3000,10,U,27,142,CY,127.97,CY,131.35,CY,3.38,23.8028169
3000,10,D,5,138,CY,127.81,CY,130.91,CY,3.1,22.46376812
3000,10,D,14,141,CY,128.56,CY,131.92,CY,3.36,23.82978723
3000,10,D,27,140,CY,128.91,CY,132.23,CY,3.32,23.71428571
3300,11,U,5,141,CY,127.67,CY,130.76,CY,3.09,21.91489362
3300,11,U,14,143,CY,129.3,CY,132.42,CY,3.12,21.81818182
3300,11,U,27,137,CY,129.35,CY,132.27,CY,2.92,21.31386861
3300,11,D,5,141,CY,129.09,CY,132.37,CY,3.28,23.26241135
3300,11,D,14,143,CY,128.83,CY,132.02,CY,3.19,22.30769231
3300,11,D,27,140,CY,128.14,CY,131.21,CY,3.07,21.92857143
3600,12,U,5,143,CY,128.45,CY,131.49,CY,3.04,21.25874126
3600,12,U,14,,,127.65,CY,,,NA,NA
3600,12,U,27,140,CY,127.46,CY,130.35,CY,2.89,20.64285714
3600,12,D,5,139,CY,128.51,CY,131.58,CY,3.07,22.08633094
3600,12,D,14,141,CY,128.75,CY,131.85,CY,3.1,21.9858156
3600,12,D,27,141,CY,128.95,CY,131.85,CY,2.9,20.56737589
3900,13,U,5,137,CY,128.46,CY,131.29,JW,2.83,20.65693431
3900,13,U,14,134,CY,126.62,CY,129.3,JW,2.68,20
3900,13,U,27,127,CY,128.16,CY,130.83,JW,2.67,21.02362205
3900,13,D,5,141,CY,128.4,CY,131.37,JW,2.97,21.06382979
3900,13,D,14,143,CY,129.36,CY,132.28,JW,2.92,20.41958042
3900,13,D,27,141,CY,128.71,CY,131.45,JW,2.74,19.43262411
4200,14,U,5,138,CY,128.02,CY,130.66,JW,2.64,19.13043478
4200,14,U,14,141,CY,129,CY,131.8,JW,2.8,19.85815603
4200,14,U,27,141,CY,128.79,CY,131.54,JW,2.75,19.5035461
4200,14,D,5,140,CY,128.66,CY,131.49,JW,2.83,20.21428571
4200,14,D,14,141,CY,128.74,CY,131.7,JW,2.96,20.9929078
4200,14,D,27,140,CY,129.25,CY,131.98,JW,2.73,19.5
4500,15,U,5,137,CY,128.73,CY,131.16,JW,2.43,17.73722628
4500,15,U,14,141,CY,127.56,CY,130.2,JW,2.64,18.72340426
4500,15,U,27,136,CY,128.49,CY,130.91,JW,2.42,17.79411765
4500,15,D,5,141,CY,130.51,CY,133.26,JW,2.75,19.5035461
4500,15,D,14,142,CY,127.36,CY,129.99,JW,2.63,18.52112676
4500,15,D,27,141,CY,129.21,CY,131.7,JW,2.49,17.65957447
4800,16,U,5,135,CY,127.79,CY,130.24,JW,2.45,18.14814815
4800,16,U,14,140,CY,129.8,CY,132.29,JW,2.49,17.78571429
4800,16,U,27,136,CY,128.08,CY,130.5,JW,2.42,17.79411765
4800,16,D,5,141,CY,128.34,CY,130.92,JW,2.58,18.29787234
4800,16,D,14,141,CY,127.67,CY,130.08,JW,2.41,17.09219858
4800,16,D,27,141,CY,129.64,CY,132.09,JW,2.45,17.37588652
5100,17,U,5,142,CY,128.14,CY,130.62,JW,2.48,17.46478873
5100,17,U,14,141,CY,128.14,CY,130.54,JW,2.4,17.0212766
5100,17,U,27,141,CY,128.01,CY,130.47,JW,2.46,17.44680851
