Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
,1,U,5,142,EC,130.44,JW,136.5,EC,6.06,42.67605634
,1,U,14,144,EC,128.5,JW,133.18,EC,4.68,32.5
,1,U,27,143,EC,129.41,JW,134.73,EC,5.32,37.2027972
,1,D,5,142,EC,129.34,JW,144.8,EC,15.46,108.8732394
,1,D,14,143,EC,128.89,JW,137.21,EC,8.32,58.18181818
,1,D,27,144,EC,128.13,JW,136.26,EC,8.13,56.45833333
,2,U,5,144,EC,130.22,JW,134.92,EC,4.7,32.63888889
,2,U,14,143,EC,129.51,JW,133.73,EC,4.22,29.51048951
,2,U,27,143,EC,131.04,JW,134.81,EC,3.77,26.36363636
,2,D,5,145,EC,130.46,JW,137.94,EC,7.48,51.5862069
,2,D,14,143,EC,130.62,JW,137.41,EC,6.79,47.48251748
,2,D,27,141,EC,129.5,JW,135.35,EC,5.85,41.4893617
,3,U,5,143,EC,129.26,JW,133.77,EC,4.51,31.53846154
,3,U,14,143,EC,130.19,JW,134.37,EC,4.18,29.23076923
,3,U,27,142,EC,129.84,JW,133.96,EC,4.12,29.01408451
,3,D,5,141,EC,129.29,JW,134.82,EC,5.53,39.21985816
,3,D,14,145,EC,131.01,JW,136.1,EC,5.09,35.10344828
,3,D,27,142,EC,129.8,JW,134,EC,4.2,29.57746479
,4,U,5,142,EC,132.13,JW,136.34,CY,4.21,29.64788732
,4,U,14,145,EC,131.1,JW,135.45,CY,4.35,30
,4,U,27,142,EC,129.98,JW,134.12,CY,4.14,29.15492958
,4,D,5,141,EC,129.34,JW,133.69,CY,4.35,30.85106383
,4,D,14,143,EC,129.1,JW,133.38,CY,4.28,29.93006993
,4,D,27,143,EC,130.88,JW,134.69,CY,3.81,26.64335664
,5,U,5,142,EC,132.1,JW,136.27,CY,4.17,29.36619718
,5,U,14,139,EC,130.64,JW,134.76,CY,4.12,29.64028777
,5,U,27,142,EC,131.39,JW,135.69,CY,4.3,30.28169014
,5,D,5,141,EC,130.02,JW,133.88,CY,3.86,27.37588652
,5,D,14,144,EC,129.78,JW,133.92,CY,4.14,28.75
,5,D,27,143,EC,132.91,JW,136.52,CY,3.61,25.24475524
,6,U,5,142,EC,130.24,JW,134.5,CY,4.26,30
,6,U,14,143,EC,130.77,JW,134.8,CY,4.03,28.18181818
,6,U,27,142,EC,131.79,JW,136.05,CY,4.26,30
,6,D,5,141,EC,132.84,JW,136.61,CY,3.77,26.73758865
,6,D,14,143,EC,130.14,JW,134.08,CY,3.94,27.55244755
,6,D,27,143,EC,130.47,JW,133.53,CY,3.06,21.3986014
,7,U,5,143,CY,128.13,JW,132.18,CY,4.05,28.32167832
,7,U,14,143,CY,128.88,JW,132.31,CY,3.43,23.98601399
,7,U,27,143,CY,129.99,JW,133.86,CY,3.87,27.06293706
,7,D,5,141,CY,130.87,JW,134.49,CY,3.62,25.67375887
,7,D,14,144,CY,130.17,JW,134.03,CY,3.86,26.80555556
,7,D,27,143,CY,129.32,JW,132.79,CY,3.47,24.26573427
,8,U,5,144,CY,131.06,JW,134.49,CY,3.43,23.81944444
,8,U,14,144,CY,130.36,JW,133.93,CY,3.57,24.79166667
,8,U,27,143,CY,127.49,JW,130.96,CY,3.47,24.26573427
,8,D,5,139,CY,127.61,JW,131.02,CY,3.41,24.5323741
,8,D,14,144,CY,131.8,JW,135.24,CY,3.44,23.88888889
,8,D,27,141,CY,131.46,JW,134.95,CY,3.49,24.75177305
,9,U,5,144,CY,129.31,JW,132.72,CY,3.41,23.68055556
,9,U,14,144,CY,128.72,JW,132.1,CY,3.38,23.47222222
,9,U,27,142,CY,133.86,JW,137.15,CY,3.29,23.16901408
,9,D,5,141,CY,130.98,JW,134.34,CY,3.36,23.82978723
,9,D,14,144,CY,132.36,JW,135.75,CY,3.39,23.54166667
,9,D,27,144,CY,132.05,JW,135.51,CY,3.46,24.02777778
,10,U,5,143,CY,133.14,JW,136.21,CY,3.07,21.46853147
,10,U,14,144,CY,131.21,JW,134.15,CY,2.94,20.41666667
,10,U,27,143,CY,130.99,JW,133.9,CY,2.91,20.34965035
,10,D,5,140,CY,131.88,JW,134.97,CY,3.09,22.07142857
,10,D,14,145,CY,129.52,JW,132.71,CY,3.19,22
