Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
600,2,U,5,140,JW,130.16,CY,137.54,JW,7.38,52.71428571
600,2,U,14,139,JW,129.75,CY,137.07,JW,7.32,52.6618705
600,2,U,27,142,JW,128.86,CY,136.47,JW,7.61,53.5915493
600,2,D,5,139,JW,127.23,CY,135.41,JW,8.18,58.84892086
600,2,D,14,141,JW,127.01,CY,134.9,JW,7.89,55.95744681
600,2,D,27,138,JW,130.09,CY,137.58,JW,7.49,54.27536232
900,3,U,5,140,JW,129.21,CY,135.47,JW,6.26,44.71428571
900,3,U,14,140,JW,129.91,CY,136.16,JW,6.25,44.64285714
900,3,U,27,139,JW,128.37,CY,134.78,JW,6.41,46.11510791
900,3,D,5,139,JW,128.39,CY,134.95,JW,6.56,47.1942446
900,3,D,14,141,JW,127.77,CY,134.48,JW,6.71,47.58865248
900,3,D,27,142,JW,129.76,CY,136.32,JW,6.56,46.1971831
1200,4,U,5,141,CY,128.42,CY,134.23,CY,5.81,41.20567376
1200,4,U,14,141,CY,127.41,CY,132.94,CY,5.53,39.21985816
1200,4,U,27,140,CY,127.64,CY,132.75,CY,5.11,36.5
1200,4,D,5,141,CY,130.01,CY,135.8,CY,5.79,41.06382979
1200,4,D,14,143,CY,128.83,CY,134.64,CY,5.81,40.62937063
1200,4,D,27,142,CY,127.82,CY,133.45,CY,5.63,39.64788732
1500,5,U,5,142,CY,126.11,CY,131.32,CY,5.21,36.69014085
1500,5,U,14,142,CY,128.02,CY,132.81,CY,4.79,33.73239437
1500,5,U,27,137,CY,129.32,CY,134,CY,4.68,34.16058394
1500,5,D,5,142,CY,131.12,CY,136.49,CY,5.37,37.81690141
1500,5,D,14,143,CY,132.23,CY,137.5,CY,5.27,36.85314685
1500,5,D,27,145,CY,128.77,CY,133.91,CY,5.14,35.44827586
1800,6,U,5,140,CY,127.64,CY,132.06,CY,4.42,31.57142857
1800,6,U,14,142,CY,128.42,CY,132.73,CY,4.31,30.35211268
1800,6,U,27,142,CY,129.88,CY,134.39,CY,4.51,31.76056338
1800,6,D,5,141,CY,126.86,CY,131.58,CY,4.72,33.4751773
1800,6,D,14,140,CY,128.6,CY,133.21,CY,4.61,32.92857143
1800,6,D,27,141,CY,125.67,CY,130.21,CY,4.54,32.19858156
2100,7,U,5,142,CY,128.76,CY,132.83,CY,4.07,28.66197183
2100,7,U,14,141,CY,129.8,CY,133.57,CY,3.77,26.73758865
2100,7,U,27,143,CY,130.11,CY,134.12,CY,4.01,28.04195804
2100,7,D,5,136,CY,128.76,CY,132.14,CY,3.38,24.85294118
2100,7,D,14,135,CY,130.44,CY,133.84,CY,3.4,25.18518519
2100,7,D,27,132,CY,130.6,CY,134.33,CY,3.73,28.25757576
2400,8,U,5,141,CY,129.07,CY,132.74,CY,3.67,26.02836879
2400,8,U,14,143,CY,128.39,CY,132.06,CY,3.67,25.66433566
2400,8,U,27,140,CY,128.52,CY,131.96,CY,3.44,24.57142857
2400,8,D,5,138,CY,129.51,CY,133.27,CY,3.76,27.24637681
2400,8,D,14,138,CY,128.31,CY,131.69,CY,3.38,24.49275362
2400,8,D,27,136,CY,129.27,CY,132.6,CY,3.33,24.48529412
2700,9,U,5,137,CY,127.22,CY,130.52,CY,3.3,24.08759124
2700,9,U,14,143,CY,124.48,CY,127.91,CY,3.43,23.98601399
2700,9,U,27,143,CY,126.15,CY,130.21,CY,4.06,28.39160839
2700,9,D,5,136,CY,128.76,CY,131.89,CY,3.13,23.01470588
2700,9,D,14,136,CY,125.82,CY,128.88,CY,3.06,22.5
2700,9,D,27,137,CY,127.94,CY,131.25,CY,3.31,24.16058394
3000,10,U,5,139,CY,130.82,CY,133.95,CY,3.13,22.51798561
3000,10,U,14,141,CY,128.74,CY,131.81,CY,3.07,21.77304965
3000,10,U,27,142,CY,130.18,CY,133.36,CY,3.18,22.3943662
3000,10,D,5,143,CY,130.23,CY,133.38,CY,3.15,22.02797203
3000,10,D,14,138,CY,128.34,CY,131.22,CY,2.88,20.86956522
3000,10,D,27,137,CY,128.7,CY,131.78,CY,3.08,22.48175182
3300,11,U,5,139,CY,127.86,CY,130.73,CY,2.87,20.64748201
3300,11,U,14,140,CY,128.28,CY,131.18,CY,2.9,20.71428571
3300,11,U,27,140,CY,129.31,CY,132.24,CY,2.93,20.92857143
3300,11,D,5,136,CY,127.88,CY,130.83,CY,2.95,21.69117647
3300,11,D,14,119,CY,129.66,CY,132.08,CY,2.42,20.33613445
