Sample Time,time series,Location,Height,Volume (mL),Filter Weight (mg),Filter+Sediment Weight (mg),sediment weight,mass volume concentration (ppm)
,1,U,5,147,134.56,134.37,-0.19,-1.292517007
,1,U,14,141,132.27,132.22,-0.05,-0.3546099291
,1,U,27,145,134.04,134.14,0.1,0.6896551724
,1,D,5,143,134.82,134.84,0.02,0.1398601399
,1,D,14,146,134.95,135.03,0.08,0.5479452055
,1,D,27,145,134.9,134.86,-0.04,-0.275862069
,2,U,5,142,134.28,134.69,0.41,2.887323944
,2,U,14,135,133.77,134.19,0.42,3.111111111
,2,U,27,138,132.14,132.55,0.41,2.971014493
,2,D,5,143,132.98,133.3,0.32,2.237762238
,2,D,14,142,132.69,132.98,0.29,2.042253521
,2,D,27,141,133.83,133.99,0.16,1.134751773
,3,U,5,135,131.94,139.5,7.56,56
,3,U,14,141,134.52,142.23,7.71,54.68085106
,3,U,27,141,132.91,140.69,7.78,55.17730496
,3,D,5,139,135.46,143.21,7.75,55.75539568
,3,D,14,141,131.99,139.76,7.77,55.10638298
,3,D,27,139,133.89,140.82,6.93,49.85611511
,4,U,5,142,130.56,137.42,6.86,48.30985915
,4,U,14,142,134.18,140.98,6.8,47.88732394
,4,U,27,141,131.8,138.33,6.53,46.31205674
,4,D,5,140,133.11,139.94,6.83,48.78571429
,4,D,14,145,133.45,140.69,7.24,49.93103448
,4,D,27,141,132.73,139.16,6.43,45.60283688
,5,U,5,142,130.94,137.13,6.19,43.5915493
,5,U,14,144,131.54,137.94,6.4,44.44444444
,5,U,27,142,131.42,137.5,6.08,42.81690141
,5,D,5,139,134.36,140.41,6.05,43.52517986
,5,D,14,141,132.42,138.77,6.35,45.03546099
,5,D,27,141,132.68,138.68,6,42.55319149
,6,U,5,143,131.18,136.76,5.58,39.02097902
,6,U,14,145,132.82,138.31,5.49,37.86206897
,6,U,27,142,131.19,136.58,5.39,37.95774648
,6,D,5,139,134.14,139.58,5.44,39.13669065
,6,D,14,142,131.74,137.47,5.73,40.35211268
,6,D,27,140,132.14,137.56,5.42,38.71428571
,7,U,5,144,132.93,138.18,5.25,36.45833333
,7,U,14,143,130.5,135.84,5.34,37.34265734
