Sample Time,time series,Location,Height,Volume (mL),Filter Weight (mg),Filter+Sediment Weight (mg),sediment weight,mass volume concentration (ppm)
,7,U,27,145,133.08,138.23,5.15,35.51724138
,7,D,5,140,133.12,138.05,4.93,35.21428571
,7,D,14,140,133.54,138.57,5.03,35.92857143
,7,D,27,140,133.73,138.72,4.99,35.64285714
,8,U,5,144,132.89,137.81,4.92,34.16666667
,8,U,14,143,133.39,138.04,4.65,32.51748252
,8,U,27,143,132.78,137.73,4.95,34.61538462
,8,D,5,139,133.51,138.34,4.83,34.74820144
,8,D,14,142,130.46,135.47,5.01,35.28169014
,8,D,27,141,129.91,134.63,4.72,33.4751773
,9,U,5,143,130.89,135.61,4.72,33.00699301
,9,U,14,143,132.9,137.41,4.51,31.53846154
,9,U,27,143,130.55,134.83,4.28,29.93006993
,9,D,5,141,130.95,135.6,4.65,32.9787234
,9,D,14,144,130.79,135.33,4.54,31.52777778
,9,D,27,141,132.43,136.84,4.41,31.27659574
,10,U,5,144,132.04,136.61,4.57,31.73611111
,10,U,14,143,133.11,137.22,4.11,28.74125874
,10,U,27,145,128.82,132.84,4.02,27.72413793
,10,D,5,139,129.33,133.21,3.88,27.91366906
,10,D,14,142,136.62,140.87,4.25,29.92957746
,10,D,27,142,135.55,139.66,4.11,28.94366197
,11,U,5,145,135.2,139.49,4.29,29.5862069
,11,U,14,145,131.35,135.49,4.14,28.55172414
,11,U,27,146,133.19,137.33,4.14,28.35616438
,11,D,5,141,132.83,136.98,4.15,29.43262411
,11,D,14,141,134.88,138.95,4.07,28.86524823
,11,D,27,140,133.98,137.96,3.98,28.42857143
,12,U,5,144,132.86,136.43,3.57,24.79166667
,12,U,14,144,133.33,136.66,3.33,23.125
,12,U,27,144,132.01,135.43,3.42,23.75
,12,D,5,139,133.17,136.2,3.03,21.79856115
,12,D,14,142,132.11,135.82,3.71,26.12676056
,12,D,27,142,134.26,138.02,3.76,26.47887324
,13,U,5,144,132.35,136.05,3.7,25.69444444
,13,U,14,144,132.93,136.38,3.45,23.95833333
,13,U,27,143,133.03,136.27,3.24,22.65734266
,13,D,5,138,133.85,137,3.15,22.82608696
,13,D,14,143,134.62,137.68,3.06,21.3986014
,13,D,27,141,132.92,136.2,3.28,23.26241135
,14,U,5,144,133.62,136.92,3.3,22.91666667
,14,U,14,144,133.51,136.74,3.23,22.43055556
,14,U,27,142,133.47,136.52,3.05,21.47887324
,14,D,5,138,133.03,135.89,2.86,20.72463768
,14,D,14,140,134.6,137.59,2.99,21.35714286
,14,D,27,141,133.35,136.57,3.22,22.83687943
,15,U,5,143,135.17,138.2,3.03,21.18881119
,15,U,14,145,134.72,137.77,3.05,21.03448276
,15,U,27,142,133.67,136.6,2.93,20.63380282
,15,D,5,139,132.06,134.67,2.61,18.77697842
,15,D,14,141,131.38,134.04,2.66,18.86524823
,15,D,27,142,131.68,134.54,2.86,20.14084507
,16,U,5,143,133.26,136.12,2.86,20
,16,U,14,144,132.42,135.07,2.65,18.40277778
,16,U,27,143,132.41,135.24,2.83,19.79020979
,16,D,5,138,132.95,135.37,2.42,17.53623188
,16,D,14,140,132.9,135.63,2.73,19.5
,16,D,27,142,132.56,135.42,2.86,20.14084507
,17,U,5,143,134.07,136.32,2.25,15.73426573
,17,U,14,144,133.53,136.46,2.93,20.34722222
,17,U,27,144,132.1,134.86,2.76,19.16666667
,17,D,5,138,132.12,134.55,2.43,17.60869565
,17,D,14,142,132.49,135.05,2.56,18.02816901
,17,D,27,140,133.42,136.19,2.77,19.78571429
,18,U,5,143,130.16,132.72,2.56,17.9020979
,18,U,14,145,132.84,135.21,2.37,16.34482759
,18,U,27,143,133.68,136.22,2.54,17.76223776
,18,D,5,137,135.76,138.4,2.64,19.27007299
,18,D,14,139,133.36,135.37,2.01,14.46043165
,18,D,27,135,135.22,137.39,2.17,16.07407407
,19,U,5,145,132.82,135.37,2.55,17.5862069
,19,U,14,143,132.66,135.26,2.6,18.18181818
,19,U,27,144,128.5,130.75,2.25,15.625
,19,D,5,138,134.39,136.87,2.48,17.97101449
,19,D,14,141,127.88,130.43,2.55,18.08510638
,19,D,27,141,133.7,136.08,2.38,16.87943262
,20,U,5,143,131.83,133.83,2,13.98601399
,20,U,14,144,131.02,133.45,2.43,16.875
,20,U,27,143,132.93,135.43,2.5,17.48251748
,20,D,5,138,132.74,134.67,1.93,13.98550725
,20,D,14,140,134.61,136.68,2.07,14.78571429
,20,D,27,141,133.41,135.63,2.22,15.74468085
,21,U,5,142,133.32,136.13,2.81,19.78873239
,21,U,14,144,132.57,134.5,1.93,13.40277778
,21,U,27,144,134.2,136.41,2.21,15.34722222
,21,D,5,138,133.69,135.38,1.69,12.24637681
,21,D,14,140,139.68,142.12,2.44,17.42857143
,21,D,27,139,134.8,136.95,2.15,15.4676259
,22,U,5,141,136.91,139.22,2.31,16.38297872
,22,U,14,144,131.55,133.7,2.15,14.93055556
,22,U,27,141,134.07,136.24,2.17,15.39007092
,22,D,5,139,132.27,134.49,2.22,15.97122302
,22,D,14,142,134.68,136.88,2.2,15.49295775
,22,D,27,138,133.48,135.76,2.28,16.52173913
