Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,135,CY,127.8,CY,137.34,JW,9.54,70.66666667
300,1,U,14,142,CY,127.9,CY,136.64,CY,8.74,61.54929577
300,1,U,27,143,CY,130.59,CY,139.79,CY,9.2,64.33566434
300,1,D,5,137,CY,129.7,CY,137.2,CY,7.5,54.74452555
300,1,D,14,139,CY,130.18,CY,139.67,JW,9.49,68.27338129
300,1,D,27,138,CY,133.18,CY,140.99,CY,7.81,56.5942029
600,2,U,5,140,CY,129.12,CY,135.47,CY,6.35,45.35714286
600,2,U,14,136,CY,131.69,CY,137.21,CY,5.52,40.58823529
600,2,U,27,143,CY,132.77,CY,138.96,CY,6.19,43.28671329
600,2,D,5,140,CY,131.26,CY,136.19,CY,4.93,35.21428571
600,2,D,14,139,CY,132.05,CY,136.24,CY,4.19,30.14388489
600,2,D,27,141,CY,131.48,CY,135.62,CY,4.14,29.36170213
900,3,U,5,140,CY,130.62,CY,136.15,CY,5.53,39.5
900,3,U,14,141,CY,127.99,CY,132.95,CY,4.96,35.17730496
900,3,U,27,144,CY,129.87,CY,135.21,CY,5.34,37.08333333
900,3,D,5,138,CY,129.42,CY,135.31,CY,5.89,42.68115942
900,3,D,14,139,CY,129.52,CY,135.82,CY,6.3,45.32374101
900,3,D,27,139,CY,131.26,CY,137.39,CY,6.13,44.10071942
1200,4,U,5,141,CY,131.87,CY,137.2,CY,5.33,37.80141844
1200,4,U,14,142,CY,130.15,CY,135.29,CY,5.14,36.1971831
1200,4,U,27,143,CY,132.32,CY,137.73,CY,5.41,37.83216783
1200,4,D,5,138,CY,131.73,CY,136.5,CY,4.77,34.56521739
1200,4,D,14,141,CY,132.31,CY,137.3,CY,4.99,35.39007092
1200,4,D,27,139,CY,132.16,CY,137.17,CY,5.01,36.04316547
1500,5,U,5,140,CY,133.06,CY,137.18,CY,4.12,29.42857143
1500,5,U,14,143,CY,132.22,CY,136.26,CY,4.04,28.25174825
1500,5,U,27,145,CY,129.6,CY,133.72,CY,4.12,28.4137931
1500,5,D,5,139,CY,130.26,CY,134.54,CY,4.28,30.79136691
1500,5,D,14,140,CY,133.33,CY,137.51,CY,4.18,29.85714286
1500,5,D,27,140,CY,131.09,CY,135.14,CY,4.05,28.92857143
1800,6,U,5,142,CY,130.34,CY,134.41,CY,4.07,28.66197183
