Trap ID,Distance from upstream edge of test section (cm),Distance from inner wall of flume (cm),Filter mass (dried overnight) (mg),initials,dried sediment+filter mass (mg),initials,Sediment
A,,,57.52,CY,71.17,CY,13.65
B,,,57.56,CY,62.83,CY,5.27
C,,,59.01,CY,69.84,CY,10.83
D,,,58,CY,68.63,CY,10.63
E,,,58.72,CY,70.17,CY,11.45
F,,,56.41,CY,62.9,CY,6.49
G,,,58.38,JW,63.41,CY,5.03
H,,,58.08,JW,67.01,CY,8.93
I,,,59.61,JW,71.67,CY,12.06
