Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,140,CY,129.96,CY,134.41,CY,4.45,31.78571429
300,1,U,14,141,CY,129.56,CY,133.87,CY,4.31,30.56737589
300,1,U,27,139,CY,128.99,CY,133.49,CY,4.5,32.37410072
300,1,D,5,143,CY,128.39,CY,134.15,CY,5.76,40.27972028
300,1,D,14,143,CY,128.26,CY,134.28,CY,6.02,42.0979021
300,1,D,27,143,CY,128.15,CY,134.47,CY,6.32,44.1958042
600,2,U,5,142,CY,127.06,CY,131.81,CY,4.75,33.45070423
600,2,U,14,141,CY,128.79,CY,134.29,CY,5.5,39.0070922
600,2,U,27,144,CY,127.59,CY,134.9,CY,7.31,50.76388889
600,2,D,5,141,CY,127.85,CY,132.82,CY,4.97,35.24822695
600,2,D,14,143,CY,131.04,CY,136.45,CY,5.41,37.83216783
600,2,D,27,141,CY,128.08,CY,133.87,CY,5.79,41.06382979
900,3,U,5,143,CY,127.43,CY,131.47,CY,4.04,28.25174825
900,3,U,14,142,CY,127.62,CY,132.01,CY,4.39,30.91549296
900,3,U,27,142,CY,130.07,CY,135.56,CY,5.49,38.66197183
900,3,D,5,141,CY,128.07,CY,132.61,CY,4.54,32.19858156
900,3,D,14,143,CY,129.36,CY,134.52,CY,5.16,36.08391608
900,3,D,27,142,CY,130.43,CY,135.88,CY,5.45,38.38028169
1200,4,U,5,143,CY,126.68,CY,130.4,CY,3.72,26.01398601
1200,4,U,14,142,CY,128.39,CY,132.54,CY,4.15,29.22535211
1200,4,U,27,144,CY,129.42,CY,134.16,CY,4.74,32.91666667
1200,4,D,5,142,CY,128.54,CY,132.75,CY,4.21,29.64788732
1200,4,D,14,144,CY,129.54,CY,134.27,CY,4.73,32.84722222
1200,4,D,27,142,CY,130.49,CY,135.44,CY,4.95,34.85915493
1500,5,U,5,142,CY,128.62,CY,132.04,CY,3.42,24.08450704
1500,5,U,14,139,CY,127.77,CY,131.28,CY,3.51,25.25179856
1500,5,U,27,141,CY,129.94,CY,134.02,CY,4.08,28.93617021
1500,5,D,5,142,CY,129.28,CY,133.18,CY,3.9,27.46478873
1500,5,D,14,143,CY,129,CY,133.37,CY,4.37,30.55944056
1500,5,D,27,141,CY,129.48,CY,134.35,CY,4.87,34.53900709
1800,6,U,5,143,CY,129.05,CY,132.16,CY,3.11,21.74825175
1800,6,U,14,142,CY,128.17,CY,131.41,CY,3.24,22.81690141
1800,6,U,27,143,CY,130.09,CY,133.88,CY,3.79,26.5034965
1800,6,D,5,142,CY,128.4,CY,131.93,CY,3.53,24.85915493
1800,6,D,14,143,CY,128.26,CY,132.18,CY,3.92,27.41258741
1800,6,D,27,143,CY,128.02,CY,132.16,CY,4.14,28.95104895
2100,7,U,5,143,CY,130.96,CY,133.81,CY,2.85,19.93006993
2100,7,U,14,141,CY,129.54,CY,132.54,CY,3,21.27659574
2100,7,U,27,143,CY,128.68,CY,132.23,CY,3.55,24.82517483
2100,7,D,5,141,CY,128.88,CY,132.02,CY,3.14,22.26950355
2100,7,D,14,143,CY,128.8,CY,132.35,CY,3.55,24.82517483
2100,7,D,27,141,CY,127.74,CY,131.43,CY,3.69,26.17021277
2400,8,U,5,143,CY,128.56,CY,131.24,CY,2.68,18.74125874
2400,8,U,14,142,CY,129.7,CY,132.59,CY,2.89,20.35211268
2400,8,U,27,143,CY,129.89,CY,133.14,CY,3.25,22.72727273
2400,8,D,5,142,CY,128.58,CY,131.74,CY,3.16,22.25352113
2400,8,D,14,143,CY,128.06,CY,131.63,CY,3.57,24.96503497
2400,8,D,27,143,CY,128.63,CY,132.2,CY,3.57,24.96503497
2700,9,U,5,143,CY,126.7,CY,129.24,CY,2.54,17.76223776
2700,9,U,14,142,CY,127.26,CY,130.05,CY,2.79,19.64788732
2700,9,U,27,144,CY,129.03,CY,132.08,CY,3.05,21.18055556
2700,9,D,5,141,CY,129.77,CY,132.48,CY,2.71,19.21985816
