Trap ID,Distance from upstream edge of test section (cm),Distance from inner wall of flume (cm),Filter mass (dried overnight) (mg),initials,dried sediment+filter mass (mg),initials,Sediment
A,,,63.83,CY,,,0
B,,,64.23,CY,,,0
C,,,60.3,CY,,,0
D,,,64.93,CY,,,0
E,,,59.85,CY,,,0
F,,,61.14,CY,,,0
G,,,66.43,CY,,,0
H,,,59.32,CY,,,0
I,,,57.43,CY,,,0
