Trap ID,Distance from upstream edge of test section (cm),Distance from inner wall of flume (cm),Filter mass (dried overnight) (mg),initials,dried sediment+filter mass (mg),initials,Sediment
A,,,55.75,JN,72.15,CY,16.4
B,,,58.08,JN,66.91,CY,8.83
C,,,62.78,JN,75.86,CY,13.08
D,,,55.93,JN,65.73,CY,9.8
E,,,59.89,JN,66.44,CY,6.55
F,,,59.5,JN,70.38,CY,10.88
G,,,59.28,JN,67.18,CY,7.9
H,,,61.62,JN,69.47,CY,7.85
I,,,60.13,JN,67.85,CY,7.72
