Sample Time,time series,Location,Height,Volume (mL),Initials,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sediment weight,mass volume concentration (ppm)
5100,17,U,27,144,,128.5,,130.75,,2.25,15.625
5100,17,D,5,138,,134.39,,136.87,,2.48,17.97101449
5100,17,D,14,141,,127.88,,130.43,,2.55,18.08510638
5100,17,D,27,141,,133.7,,136.08,,2.38,16.87943262
5400,18,U,5,143,,131.83,,133.83,,2,13.98601399
5400,18,U,14,144,,131.02,,133.45,,2.43,16.875
5400,18,U,27,143,,132.93,,135.43,,2.5,17.48251748
5400,18,D,5,138,,132.74,,134.67,,1.93,13.98550725
5400,18,D,14,140,,134.61,,136.68,,2.07,14.78571429
5400,18,D,27,141,,133.41,,135.63,,2.22,15.74468085
5700,19,U,5,142,,133.32,,136.13,,2.81,19.78873239
5700,19,U,14,144,,132.57,,134.5,,1.93,13.40277778
5700,19,U,27,144,,134.2,,136.41,,2.21,15.34722222
5700,19,D,5,138,,133.69,,135.38,,1.69,12.24637681
5700,19,D,14,140,,139.68,,142.12,,2.44,17.42857143
5700,19,D,27,139,,134.8,,136.95,,2.15,15.4676259
