Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,140,NU,128.08,CY,135.42,CY,7.34,52.42857143
300,1,U,14,141,NU,129.24,CY,136.28,CY,7.04,49.92907801
300,1,U,27,140,NU,129.54,CY,136.75,CY,7.21,51.5
300,1,D,5,139,NU,129.65,CY,146.98,CY,17.33,124.676259
300,1,D,14,142,NU,128.9,CY,137.62,CY,8.72,61.4084507
300,1,D,27,141,NU,129.22,CY,134.9,CY,5.68,40.28368794
600,2,U,5,142,CY,129.29,CY,137.23,CY,7.94,55.91549296
600,2,U,14,141,CY,129.88,CY,136.25,CY,6.37,45.17730496
600,2,U,27,143,CY,128.27,CY,134.19,CY,5.92,41.3986014
600,2,D,5,142,CY,128.53,CY,133.85,CY,5.32,37.46478873
600,2,D,14,143,CY,128.87,CY,134.42,CY,5.55,38.81118881
600,2,D,27,141,CY,128.55,CY,133.39,CY,4.84,34.32624113
900,3,U,5,143,CY,131.2,CY,137.13,CY,5.93,41.46853147
900,3,U,14,142,CY,127.95,CY,133.89,CY,5.94,41.83098592
900,3,U,27,144,CY,128.06,CY,134.74,CY,6.68,46.38888889
900,3,D,5,142,CY,128.57,CY,135.48,CY,6.91,48.66197183
900,3,D,14,143,CY,128.75,CY,135.4,CY,6.65,46.5034965
900,3,D,27,143,CY,127.26,CY,134.42,CY,7.16,50.06993007
1200,4,U,5,140,CY,128.8,CY,134.33,CY,5.53,39.5
1200,4,U,14,142,CY,131.41,CY,136,CY,4.59,32.32394366
1200,4,U,27,142,CY,127.72,CY,132.42,CY,4.7,33.09859155
1200,4,D,5,141,CY,128.99,CY,134.07,CY,5.08,36.02836879
1200,4,D,14,141,CY,127.22,CY,131.15,CY,3.93,27.87234043
1200,4,D,27,143,CY,127.54,CY,131.83,CY,4.29,30
1500,5,U,5,142,CY,129.11,CY,134.13,CY,5.02,35.35211268
1500,5,U,14,139,CY,127.44,CY,131.79,CY,4.35,31.29496403
