Time (s),time series,Location,Height,Volume (mL),Initials ,Filter Weight (mg),Initials,Filter+Sediment Weight (mg),Initials,sed mass,mass volume concentration (ppm)
300,1,U,5,144,CY,132.03,EC,141.21,EC,9.18,63.75
300,1,U,14,145,CY,132.47,EC,141.29,EC,8.82,60.82758621
300,1,U,27,145,CY,132.02,EC,140.43,EC,8.41,58
300,1,D,5,141,CY,133.06,EC,140.14,EC,7.08,50.21276596
300,1,D,14,142,CY,131.69,EC,140.27,EC,8.58,60.42253521
300,1,D,27,140,CY,131.03,EC,138.45,EC,7.42,53
600,2,U,5,144,CY,131.71,EC,138.91,EC,7.2,50
600,2,U,14,143,CY,133.09,EC,140.15,EC,7.06,49.37062937
600,2,U,27,144,CY,134.02,EC,140.76,EC,6.74,46.80555556
600,2,D,5,143,CY,129.22,EC,135.21,EC,5.99,41.88811189
600,2,D,14,143,CY,132.89,EC,140.14,EC,7.25,50.6993007
600,2,D,27,141,CY,130.67,EC,137.38,EC,6.71,47.58865248
900,3,U,5,143,CY,131.48,EC,137.57,EC,6.09,42.58741259
900,3,U,14,144,CY,132.47,EC,138.44,EC,5.97,41.45833333
900,3,U,27,142,CY,133.83,EC,139.46,EC,5.63,39.64788732
900,3,D,5,141,CY,133.23,EC,138.84,EC,5.61,39.78723404
900,3,D,14,142,CY,131.81,EC,138.1,EC,6.29,44.29577465
900,3,D,27,141,CY,133.01,EC,139.04,EC,6.03,42.76595745
1200,4,U,5,143,CY,130.26,EC,135.5,EC,5.24,36.64335664
1200,4,U,14,143,CY,127.81,EC,132.92,EC,5.11,35.73426573
1200,4,U,27,144,CY,130.82,EC,135.95,EC,5.13,35.625
1200,4,D,5,141,CY,131.53,EC,136.68,EC,5.15,36.5248227
1200,4,D,14,143,CY,130.61,EC,136.16,EC,5.55,38.81118881
1200,4,D,27,142,CY,131.33,EC,136.66,EC,5.33,37.53521127
1500,5,U,5,143,CY,133.57,EC,138.17,EC,4.6,32.16783217
1500,5,U,14,144,CY,132.82,EC,137.53,EC,4.71,32.70833333
1500,5,U,27,144,CY,132,EC,136.61,EC,4.61,32.01388889
1500,5,D,5,141,CY,132.48,EC,137.06,EC,4.58,32.4822695
