station,Distance from upstream edge of test section (cm),Distance from inner wall of flume (cm),pre,initials,post,initials,sed
A,,,58.66,,71.48,,12.82
B,,,57.12,,69.19,,12.07
C,,,57.75,,73.99,,16.24
D,,,57.09,,67.26,,10.17
E,,,57.15,,64.68,,7.53
F,,,59.05,,69.47,,10.42
G,,,59.92,,70.71,,10.79
H,,,59.08,,67.34,,8.26
I,,,58.39,,67.66,,9.27
