station,Distance from upstream edge of test section (cm),Distance from inner wall of flume (cm),pre,initials,post,initials,sed
A,,,61.46,CY,71.9,CY,10.44
B,,,60.91,CY,75.32,CY,14.41
C,,,54.86,CY,61.44,CY,6.58
D,,,60.51,CY,72.47,CY,11.96
E,,,64.22,CY,76.38,CY,12.16
F,,,60.61,CY,71.69,CY,11.08
G,,,62.55,CY,75.33,CY,12.78
H,,,61.1,CY,71.68,CY,10.58
I,,,65.07,CY,77.7,CY,12.63
