station,pre,post,sed
A,55.2,63.07,7.87
B,59.13,64.29,5.16
C,57.58,66.32,8.74
D,57.1,62.92,5.82
E,58.43,63.02,4.59
F,57.65,64.23,6.58
G,56.98,62.54,5.56
H,55.99,57.38,1.39
I,50.57,54.56,3.99
