,,,Pre-Mass,Initials,Post Mass,Initials,Sediment
A,,,58.21,EC,66.97,EC,8.76
B,,,57.69,EC,67.28,EC,9.59
C,,,57.53,EC,65.48,EC,7.95
D,,,57.63,EC,68.39,EC,10.76
E,,,57.39,EC,66.4,EC,9.01
F,,,56.75,EC,59.24,EC,2.49
G,,,58.29,EC,63.69,EC,5.4
H,,,57.95,EC,62.32,EC,4.37
I,,,59.53,EC,64.71,EC,5.18
