station,Distance from upstream edge of test section (cm),Distance from inner wall of flume (cm),pre,initials,post,initials,sed
A,,,60.8,,78.3,,17.5
B,,,61.85,,78.96,,17.11
C,,,61.67,,80.06,,18.39
D,,,61.63,,74.08,,12.45
E,,,63.58,,74.2,,10.62
F,,,46.2,,49.95,,3.75
G,,,61.68,,68.04,,6.36
H,,,61.16,,71.72,,10.56
I,,,64.86,,67.87,,3.01
