,,,Pre-Mass,Initials,Post Mass,Initials,Sediment
A,,,59.41,JW,70.67,JW,11.26
B,,,59.98,JW,70.96,JW,10.98
C,,,59.21,JW,72.17,JW,12.96
D,,,58.29,JW,68.2,JW,9.91
E,,,59.29,JW,72.05,JW,12.76
F,,,59.64,JW,70.95,JW,11.31
G,,,59.23,JW,70.59,JW,11.36
H,,,58.07,JW,68.23,JW,10.16
I,,,59.36,JW,70.89,JW,11.53
