,,,Pre-Mass,Initials,Post Mass,Initials,Sediment
A,,,52.5,NU,59.49,EC,6.99
B,,,56.13,NU,66.35,EC,10.22
C,,,54.31,NU,64.26,EC,9.95
D,,,55.98,NU,67.72,EC,11.74
E,,,56.9,NU,63.87,EC,6.97
F,,,55.64,NU,65.05,EC,9.41
G,,,54.63,NU,57.21,EC,2.58
H,,,54.17,NU,60.62,EC,6.45
I,,,54.14,NU,63,EC,8.86
