station,Distance from upstream edge of test section (cm),Distance from inner wall of flume (cm),pre,initials,post,initials,sed
A,,,51.86,NU,63.91,,12.05
B,,,56.48,NU,76.6,,20.12
C,,,56.23,NU,69.59,,13.36
D,,,53.55,NU,64.25,,10.7
E,,,55.43,NU,67.64,,12.21
F,,,55.14,NU,67.86,,12.72
G,,,54.29,NU,67.35,,13.06
H,,,54.36,NU,62.17,,7.81
I,,,56.53,NU,68.63,,12.1
