station,Distance from upstream edge of test section (cm),Distance from inner wall of flume (cm),pre,initials,post,initials,sed
A,,,56.57,,64.43,JW,7.86
B,,,59.41,,64.41,JW,5
C,,,57.31,,72.67,JW,15.36
D,,,60.19,,69.44,JW,9.25
E,,,56.22,,69.24,JW,13.02
F,,,53.61,,64.46,JW,10.85
G,,,58.35,,61.3,JW,2.95
H,,,58.71,,66.99,JW,8.28
I,,,60.2,,60.59,JW,0.39
