,,,Pre-Mass,Initials,Post Mass,Initials,Sediment
A,,,63.35,JW,77.05,JW,13.7
B,,,64.99,JW,76.85,JW,11.86
C,,,60.42,JW,72.71,JW,12.29
D,,,57.66,JW,71.03,JW,13.37
E,,,63.35,JW,72.76,JW,9.41
F,,,62.11,JW,72.13,JW,10.02
G,,,57.89,JW,69.13,JW,11.24
H,,,60.22,JW,71.16,JW,10.94
I,,,59.93,JW,72.2,JW,12.27
