station,Distance from upstream edge of test section (cm),Distance from inner wall of flume (cm),pre,initials,post,initials,sed
A,,,59.9,,80.92,,21.02
B,,,59.61,,66.89,,7.28
C,,,61.9,,85.02,,23.12
D,,,61.45,,80.79,,19.34
E,,,61.48,,78.31,,16.83
F,,,63.27,,79.52,,16.25
G,,,61.59,,75.12,,13.53
H,,,58.71,,72.07,,13.36
I,,,57.53,,72.86,,15.33
